Sample.Name,Pop,Pop_Type,Variety
TMA-ZAIN-G-249,MBC,Garden,Garden
TMA-ZAIN-G-250,MBC,Garden,Garden
TMA-ZAIN-G-251,MBC,Garden,Garden
TMA-ZAIN-G-252,MBC,Garden,Garden
TMA-ZAIN-G-253,MBC,Garden,Garden
TMA-ZAIN-G-254,MBC,Garden,Garden
TMA-ZAIN-G-255,MBC,Garden,Garden
TMA-ZAIN-G-256,MBC,Garden,Garden
TMA-ZAIN-G-257,MBC,Garden,Garden
TMA-ZAIN-G-258,MBC,Garden,Garden
TMA-ZAIN-G-259,MBC,Garden,Garden
TMA-ZAIN-G-260,MBC,Garden,Garden
TMA-ZAIN-G-261,MBC,Garden,Garden
TMA-ZAIN-G-262,MBC,Garden,Garden
TMA-ZAIN-G-263,MBC,Garden,Garden
TMA-ZAIN-G-264,MBC,Garden,Garden
TMA-ZAIN-G-265,MBC,Garden,Garden
TMA-ZAIN-G-266,MBC,Garden,Garden
TMA-ZAIN-G-267,MBC,Garden,Garden
TMA-ZAIN-G-268,MBC,Garden,Garden
TMA-ZAIN-G-269,MBC,Garden,Garden
TMA-ZAIN-G-270,MBC,Garden,Garden
TMA-ZAIN-G-271,MBC,Garden,Garden
TMA-ZAIN-G-272,MBC,Garden,Garden
TMA-ZAIN-G-273,MBC,Garden,Garden
TMA-ZAIN-G-274,MBC,Garden,Garden
TMA-ZAIN-G-275,MBC,Garden,Garden
TMA-ZAIN-G-276,MBC,Garden,Garden
TMA-ZAIN-G-277,MBC,Garden,Garden
TMA-ZAIN-G-278,MBC,Garden,Garden
TMA-ZAIN-G-279,MBC,Garden,Garden
TMA-ZAIN-G-280,MBC,Garden,Garden
TMA-ZAIN-G-281,MBC,Garden,Garden
TMA-ZAIN-G-282,MBC,Garden,Garden
TMA-ZAIN-G-283,MBC,Garden,Garden
TMA-ZAIN-G-284,MBC,Garden,Garden
TMA-ZAIN-G-285,MBC,Garden,Garden
TMA-ZAIN-G-286,MBC,Garden,Garden
TMA-ZAIN-G-287,MBC,Garden,Garden
TMA-ZAIN-G-288,MBC,Garden,Garden
TMA-ZAIN-G-289,MBC,Garden,Garden
TMA-ZAIN-G-290,MBC,Garden,Garden
TMA-ZAIN-G-291,MBC,Garden,Garden
TMA-ZAIN-G-292,MBC,Garden,Garden
TMA-ZAIN-G-293,MBC,Garden,Garden
TMA-ZAIN-G-294,MBC,Garden,Garden
TMA-ZAIN-G-295,MBC,Garden,Garden
TMA-ZAIN-G-296,MBC,Garden,Garden
TMA-ZAIN-G-297,MBC,Garden,Garden
TMA-ZAIN-G-298,MBC,Garden,Garden
TMA-ZAIN-G-299,MBC,Garden,Garden
TMA-ZAIN-G-301,MBC,Garden,Garden
TMA-ZAIN-G-302,MBC,Garden,Garden
TMA-ZAIN-G-303,MBC,Garden,Garden
TMA-ZAIN-G-304,MBC,Garden,Garden
TMA-ZAIN-G-305,MBC,Garden,Garden
TMA-ZAIN-G-306,MBC,Garden,Garden
TMA-ZAIN-G-307,MSBG,Garden,Garden
TMA-ZAIN-G-308,MSBG,Garden,Garden
TMA-ZAIN-G-309,MSBG,Garden,Garden
TMA-ZAIN-G-310,MSBG,Garden,Garden
TMA-ZAIN-G-311,MSBG,Garden,Garden
TMA-ZAIN-G-312,MSBG,Garden,Garden
TMA-ZAIN-G-313,MSBG,Garden,Garden
TMA-ZAIN-G-314,MSBG,Garden,Garden
TMA-ZAIN-G-315,MSBG,Garden,Garden
TMA-ZAIN-G-316,MSBG,Garden,Garden
TMA-ZAIN-G-317,MSBG,Garden,Garden
TMA-ZAIN-G-318,MSBG,Garden,Garden
TMA-ZAIN-G-319,MSBG,Garden,Garden
TMA-ZAIN-G-320,MSBG,Garden,Garden
TMA-ZAIN-G-321,MSBG,Garden,Garden
TMA-ZAIN-G-322,AA,Garden,Garden
TMA-ZAIN-G-323,AA,Garden,Garden
TMA-ZAIN-G-324,HBG,Garden,Garden
TMA-ZAIN-G-325,HBG,Garden,Garden
TMA-ZAIN-G-326,FTBG,Garden,Garden
TMA-ZAIN-G-327,FTBG,Garden,Garden
TMA-ZAIN-G-328,FTBG,Garden,Garden
TMA-ZAIN-G-329,FTBG,Garden,Garden
TMA-ZAIN-G-330,FTBG,Garden,Garden
TMA-ZAIN-G-331,FTBG,Garden,Garden
TMA-ZAIN-G-332,FTBG,Garden,Garden
TMA-ZAIN-G-333,UCBBG,Garden,Garden
TMA-ZAIN-G-334,UCBBG,Garden,Garden
TMA-ZAIN-G-335,UCBBG,Garden,Garden
TMA-ZAIN-G-336,UCBBG,Garden,Garden
TMA-ZAIN-G-337,UCBBG,Garden,Garden
TMA-ZAIN-G-338,UCBBG,Garden,Garden
TMA-ZAIN-G-339,UCBBG,Garden,Garden
TMA-ZAIN-G-340,UCBBG,Garden,Garden
TMA-ZAIN-G-341,UCBBG,Garden,Garden
TMA-ZAIN-G-342,UCBBG,Garden,Garden
TMA-ZAIN-G-343,UCBBG,Garden,Garden
TMA-ZAIN-G-344,UCBBG,Garden,Garden
TMA-ZAIN-G-345,UCBBG,Garden,Garden
TMA-ZAIN-G-347,GWL,Garden,Garden
TMA-ZAIN-G-348,GWL,Garden,Garden
TMA-ZAIN-G-349,GWL,Garden,Garden
TMA-ZAIN-G-350,GWL,Garden,Garden
TMA-ZAIN-G-351,GWL,Garden,Garden
TMA-ZAIN-G-352,GWL,Garden,Garden
TMA-ZAIN-G-353,GWL,Garden,Garden
TMA-ZAIN-G-354,GWL,Garden,Garden
TMA-ZAIN-G-355,GWL,Garden,Garden
TMA-ZAIN-G-356,GWL,Garden,Garden
TMA-ZAIN-G-357,GWL,Garden,Garden
TMA-ZAIN-G-358,GWL,Garden,Garden
TMA-ZAIN-G-359,GWL,Garden,Garden
TMA-ZAIN-G-360,HPLG,Garden,Garden
TMA-ZAIN-G-361,HPLG,Garden,Garden
TMA-ZAIN-G-362,HPLG,Garden,Garden
TMA-ZAIN-G-363,HPLG,Garden,Garden
TMA-ZAIN-G-364,HPLG,Garden,Garden
TMA-ZAIN-G-365,HPLG,Garden,Garden
TMA-ZAIN-G-366,HPLG,Garden,Garden
TMA-ZAIN-G-367,NBG,Garden,Garden
TMA-ZAIN-G-368,NBG,Garden,Garden
TMA-ZAIN-G-369,NBG,Garden,Garden
TMA-ZAIN-G-370,NBG,Garden,Garden
TMA-ZAIN-G-371,NBG,Garden,Garden
TMA-ZAIN-G-372,NBG,Garden,Garden
TMA-ZAIN-G-373,NBG,Garden,Garden
TMA-ZAIN-G-374,NBG,Garden,Garden
TMA-ZAIN-G-376,NBG,Garden,Garden
TMA-ZAIN-G-377,NBG,Garden,Garden
