Sample.Name,Pop,Cluster,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
TMA-ZAIN-G-53,MBC,,0.048,0.004,0.011,0.014,0.01,0.207,0.009,0.011,0.019,0.017,0.004,0.104,0.044,0.004,0.009,0.005,0.033,0.01,0.033,0.023,0.132,0.013,0.007,0.003,0.227
TMA-ZAIN-G-54,MBC,,0.004,0.003,0.005,0.003,0.006,0.005,0.006,0.008,0.004,0.003,0.004,0.847,0.007,0.003,0.005,0.003,0.047,0.005,0.003,0.006,0.005,0.005,0.005,0.004,0.003
TMA-ZAIN-G-55,MBC,,0.004,0.005,0.006,0.003,0.004,0.009,0.007,0.01,0.003,0.003,0.003,0.813,0.01,0.003,0.018,0.003,0.051,0.006,0.003,0.007,0.009,0.007,0.009,0.004,0.003
TMA-ZAIN-G-56,MBC,,0.258,0.004,0.007,0.014,0.003,0.013,0.031,0.053,0.018,0.027,0.017,0.13,0.015,0.028,0.058,0.017,0.013,0.02,0.01,0.007,0.039,0.144,0.058,0.008,0.006
TMA-ZAIN-G-57,MBC,,0.009,0.003,0.004,0.008,0.006,0.017,0.004,0.004,0.009,0.008,0.029,0.177,0.005,0.01,0.004,0.006,0.611,0.008,0.007,0.01,0.015,0.007,0.007,0.022,0.009
TMA-ZAIN-G-58,MBC,,0.011,0.005,0.125,0.003,0.059,0.036,0.035,0.071,0.004,0.009,0.007,0.034,0.009,0.011,0.012,0.006,0.023,0.008,0.011,0.195,0.265,0.024,0.011,0.017,0.01
TMA-ZAIN-G-59,MBC,,0.027,0.012,0.016,0.01,0.023,0.008,0.034,0.015,0.023,0.139,0.017,0.019,0.008,0.018,0.013,0.009,0.012,0.022,0.018,0.048,0.01,0.033,0.033,0.011,0.421
TMA-ZAIN-G-60,MBC,,0.021,0.009,0.01,0.005,0.131,0.03,0.013,0.078,0.015,0.016,0.005,0.013,0.12,0.011,0.007,0.006,0.014,0.007,0.039,0.087,0.14,0.04,0.008,0.005,0.17
TMA-ZAIN-G-61,MBC,,0.038,0.011,0.019,0.004,0.013,0.008,0.005,0.007,0.004,0.007,0.007,0.01,0.005,0.005,0.004,0.004,0.021,0.005,0.034,0.012,0.016,0.004,0.005,0.004,0.75
TMA-ZAIN-G-62,MBC,,0.003,0.009,0.008,0.008,0.009,0.013,0.006,0.036,0.011,0.01,0.015,0.01,0.007,0.017,0.02,0.005,0.007,0.029,0.02,0.073,0.02,0.015,0.01,0.013,0.625
