Sample.Name,Pop,C1,C2,C3,C4
TMA-ZAIN-G-385,KWTFBG,0.011,0.003,0.982,0.004
TMA-ZAIN-G-386,KWTFBG,0.07,0.121,0.379,0.43
TMA-ZAIN-G-387,KWTFBG,0.028,0.133,0.009,0.83
NA,NA,0,0,0,0
ZFB01,ZFB,0.006,0.728,0.238,0.029
ZFB02,ZFB,0.003,0.968,0.015,0.014
ZFB03,ZFB,0.008,0.936,0.028,0.027
ZFB04,ZFB,0.004,0.966,0.017,0.014
ZFB05,ZFB,0.004,0.917,0.023,0.055
ZFB06,ZFB,0.004,0.925,0.025,0.046
ZFB07,ZFB,0.01,0.976,0.006,0.008
ZFB08,ZFB,0.007,0.949,0.018,0.026
ZFB09,ZFB,0.004,0.92,0.042,0.034
ZFB10,ZFB,0.01,0.863,0.088,0.039
ZFB11,ZFB,0.006,0.583,0.359,0.052
ZFB12,ZFB,0.008,0.796,0.155,0.041
ZFB13,ZFB,0.009,0.963,0.007,0.021
ZFB14,ZFB,0.008,0.94,0.025,0.028
ZFB15,ZFB,0.003,0.896,0.036,0.066
ZFB16,ZFB,0.004,0.925,0.016,0.055
ZFB17,ZFB,0.004,0.932,0.031,0.033
ZFB18,ZFB,0.006,0.883,0.08,0.03
ZFB19,ZFB,0.02,0.949,0.014,0.017
ZFB20,ZFB,0.004,0.878,0.031,0.087
ZFB21,ZFB,0.004,0.887,0.024,0.085
ZFB22,ZFB,0.005,0.832,0.095,0.068
ZFB23,ZFB,0.01,0.862,0.093,0.035
ZFB24,ZFB,0.005,0.691,0.281,0.022
ZFB25,ZFB,0.021,0.753,0.145,0.081
