Sample.Name,Pop,C1,C2,C3
ZFBP201,ZFBP2,0.01,0.012,0.979
ZFBP202,ZFBP2,0.007,0.009,0.984
ZFBP203,ZFBP2,0.033,0.01,0.956
ZFBP204,ZFBP2,0.008,0.007,0.986
ZFBP205,ZFBP2,0.006,0.008,0.986
ZFBP206,ZFBP2,0.009,0.008,0.983
ZFBP207,ZFBP2,0.005,0.006,0.99
ZFBP208,ZFBP2,0.011,0.011,0.978
ZFBP209,ZFBP2,0.004,0.018,0.978
ZFBP210,ZFBP2,0.009,0.012,0.979
ZFBP211,ZFBP2,0.006,0.01,0.984
ZFBP212,ZFBP2,0.006,0.01,0.984
ZFBP213,ZFBP2,0.009,0.008,0.983
ZFBP214,ZFBP2,0.008,0.009,0.984
ZFBP215,ZFBP2,0.006,0.01,0.984
ZFBP216,ZFBP2,0.014,0.012,0.974
ZFBP217,ZFBP2,0.005,0.01,0.985
ZFBP218,ZFBP2,0.005,0.007,0.987
ZFBP219,ZFBP2,0.007,0.008,0.985
