,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFBP227,ZFBP2,C14,0.015,0.005,0.006,0.044,0.009,0.008,0.312,0.078,0.011,0.013,0.009,0.01,0.026,0.061,0.012,0.014,0.027,0.007,0.1,0.176,0.025,0.01,0.015,0.004,0.004
ZFBP228,ZFBP2,C14,0.005,0.004,0.008,0.222,0.003,0.005,0.085,0.138,0.04,0.005,0.015,0.009,0.067,0.043,0.082,0.046,0.034,0.05,0.004,0.104,0.004,0.005,0.004,0.013,0.002
ZFBP229,ZFBP2,C14,0.003,0.003,0.024,0.013,0.003,0.003,0.096,0.435,0.077,0.006,0.021,0.016,0.02,0.116,0.055,0.012,0.031,0.005,0.007,0.036,0.004,0.003,0.003,0.006,0.003
ZFBP230,ZFBP2,C14,0.003,0.003,0.031,0.271,0.003,0.006,0.327,0.097,0.011,0.004,0.024,0.02,0.009,0.056,0.024,0.025,0.017,0.009,0.008,0.019,0.004,0.004,0.004,0.019,0.003
ZFBP231,ZFBP2,C14,0.008,0.005,0.005,0.162,0.005,0.02,0.046,0.023,0.029,0.005,0.009,0.088,0.022,0.028,0.445,0.022,0.013,0.006,0.008,0.022,0.007,0.008,0.006,0.004,0.005
ZFBP232,ZFBP2,C14,0.003,0.003,0.007,0.023,0.003,0.005,0.088,0.255,0.013,0.003,0.022,0.224,0.007,0.026,0.092,0.007,0.006,0.003,0.004,0.19,0.003,0.005,0.003,0.003,0.003
ZFBP233,ZFBP2,C14,0.004,0.003,0.009,0.834,0.004,0.007,0.011,0.005,0.007,0.003,0.008,0.025,0.008,0.013,0.007,0.009,0.005,0.004,0.008,0.007,0.003,0.005,0.003,0.004,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFCC01,ZFCC,C24,0.015,0.005,0.004,0.004,0.007,0.008,0.003,0.003,0.003,0.004,0.006,0.005,0.004,0.005,0.003,0.004,0.003,0.005,0.005,0.004,0.004,0.005,0.004,0.882,0.004
ZFCC03,ZFCC,C24,0.006,0.003,0.004,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.003,0.008,0.003,0.003,0.004,0.003,0.003,0.912,0.003
