,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFLB11,ZFLB,C25,0.006,0.004,0.006,0.005,0.009,0.019,0.007,0.006,0.003,0.006,0.004,0.01,0.006,0.005,0.006,0.005,0.005,0.005,0.008,0.005,0.005,0.005,0.01,0.01,0.839
ZFLB12,ZFLB,C25,0.01,0.006,0.003,0.004,0.012,0.015,0.004,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.004,0.011,0.006,0.011,0.008,0.85
ZFLB13,ZFLB,C25,0.02,0.005,0.004,0.014,0.012,0.014,0.017,0.008,0.01,0.01,0.005,0.007,0.014,0.013,0.005,0.011,0.023,0.011,0.019,0.01,0.029,0.005,0.045,0.01,0.678
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFLTI01,ZFLTI,C16,0.003,0.003,0.006,0.006,0.002,0.004,0.013,0.011,0.012,0.004,0.012,0.009,0.009,0.007,0.005,0.843,0.008,0.006,0.005,0.008,0.003,0.003,0.003,0.012,0.002
ZFLTI02,ZFLTI,C16,0.004,0.002,0.006,0.005,0.002,0.005,0.007,0.005,0.004,0.003,0.006,0.005,0.006,0.004,0.006,0.878,0.005,0.011,0.004,0.005,0.003,0.003,0.003,0.016,0.002
ZFLTI03,ZFLTI,C16,0.004,0.002,0.006,0.009,0.002,0.004,0.006,0.004,0.005,0.003,0.005,0.009,0.011,0.005,0.004,0.882,0.007,0.008,0.005,0.004,0.002,0.003,0.003,0.006,0.002
ZFLTI04,ZFLTI,C16,0.005,0.003,0.005,0.013,0.003,0.009,0.024,0.008,0.005,0.003,0.01,0.012,0.015,0.006,0.006,0.8,0.018,0.013,0.007,0.01,0.004,0.006,0.004,0.007,0.003
ZFLTI05,ZFLTI,C16,0.004,0.002,0.003,0.008,0.002,0.004,0.007,0.004,0.006,0.003,0.004,0.005,0.009,0.005,0.004,0.892,0.01,0.008,0.004,0.005,0.003,0.003,0.003,0.004,0.002
ZFLTI06,ZFLTI,C16,0.003,0.003,0.005,0.014,0.002,0.003,0.01,0.006,0.015,0.003,0.008,0.011,0.008,0.009,0.003,0.854,0.011,0.004,0.004,0.007,0.003,0.004,0.003,0.004,0.002
ZFLTI07,ZFLTI,C16,0.004,0.003,0.003,0.016,0.002,0.004,0.012,0.006,0.017,0.003,0.007,0.007,0.012,0.008,0.003,0.832,0.028,0.005,0.004,0.006,0.003,0.004,0.003,0.004,0.002
ZFLTI08,ZFLTI,C16,0.007,0.003,0.004,0.006,0.002,0.005,0.008,0.004,0.005,0.004,0.006,0.006,0.047,0.008,0.005,0.769,0.019,0.049,0.007,0.005,0.005,0.014,0.004,0.004,0.003
ZFLTI09,ZFLTI,C16,0.005,0.003,0.003,0.01,0.002,0.004,0.009,0.005,0.008,0.003,0.007,0.01,0.008,0.006,0.005,0.871,0.009,0.005,0.004,0.006,0.003,0.004,0.003,0.004,0.002
ZFLTI10,ZFLTI,C16,0.004,0.003,0.004,0.008,0.002,0.004,0.017,0.008,0.009,0.003,0.006,0.008,0.008,0.006,0.005,0.862,0.01,0.005,0.003,0.007,0.003,0.004,0.003,0.006,0.002
ZFLTI11,ZFLTI,C16,0.004,0.003,0.008,0.009,0.003,0.004,0.006,0.005,0.007,0.002,0.006,0.012,0.008,0.007,0.005,0.873,0.006,0.006,0.005,0.007,0.002,0.003,0.002,0.004,0.003
ZFLTI12,ZFLTI,C16,0.004,0.002,0.006,0.006,0.002,0.004,0.008,0.006,0.006,0.003,0.005,0.006,0.006,0.005,0.006,0.886,0.005,0.005,0.004,0.006,0.003,0.003,0.003,0.007,0.002
ZFLTI13,ZFLTI,C16,0.004,0.003,0.005,0.009,0.002,0.005,0.006,0.004,0.006,0.003,0.006,0.005,0.008,0.005,0.004,0.876,0.006,0.012,0.006,0.004,0.003,0.003,0.003,0.009,0.002
ZFLTI14,ZFLTI,C16,0.005,0.002,0.003,0.007,0.002,0.006,0.008,0.006,0.006,0.003,0.005,0.004,0.007,0.004,0.005,0.85,0.006,0.034,0.003,0.005,0.003,0.003,0.004,0.016,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFONF101,ZFONF1,C15,0.005,0.004,0.004,0.019,0.003,0.003,0.009,0.021,0.015,0.003,0.006,0.017,0.008,0.006,0.827,0.009,0.008,0.003,0.006,0.005,0.003,0.007,0.004,0.002,0.003
ZFONF102,ZFONF1,C15,0.003,0.003,0.009,0.012,0.004,0.003,0.014,0.036,0.057,0.004,0.017,0.013,0.006,0.009,0.763,0.003,0.004,0.002,0.003,0.008,0.004,0.003,0.01,0.003,0.008
ZFONF103,ZFONF1,C15,0.004,0.003,0.01,0.007,0.003,0.013,0.015,0.016,0.007,0.003,0.014,0.012,0.013,0.009,0.783,0.01,0.006,0.015,0.008,0.027,0.005,0.004,0.004,0.007,0.002
ZFONF104,ZFONF1,C15,0.003,0.003,0.014,0.008,0.002,0.002,0.017,0.047,0.02,0.003,0.013,0.015,0.008,0.026,0.767,0.006,0.008,0.003,0.003,0.018,0.002,0.002,0.002,0.005,0.003
ZFONF105,ZFONF1,C15,0.002,0.002,0.017,0.006,0.003,0.004,0.007,0.008,0.004,0.002,0.005,0.007,0.006,0.006,0.885,0.004,0.005,0.004,0.004,0.007,0.003,0.003,0.003,0.003,0.003
ZFONF106,ZFONF1,C15,0.004,0.003,0.004,0.009,0.002,0.004,0.012,0.024,0.01,0.003,0.01,0.011,0.004,0.009,0.841,0.005,0.004,0.003,0.003,0.021,0.003,0.004,0.003,0.003,0.002
ZFONF107,ZFONF1,C15,0.006,0.005,0.004,0.006,0.007,0.008,0.007,0.024,0.004,0.004,0.007,0.005,0.004,0.004,0.835,0.005,0.004,0.005,0.003,0.008,0.008,0.007,0.014,0.004,0.013
ZFONF108,ZFONF1,C15,0.004,0.003,0.004,0.005,0.003,0.008,0.005,0.016,0.004,0.002,0.004,0.003,0.003,0.005,0.89,0.004,0.003,0.005,0.003,0.008,0.004,0.003,0.004,0.004,0.004
ZFONF109,ZFONF1,C15,0.003,0.002,0.009,0.005,0.002,0.007,0.008,0.007,0.006,0.003,0.008,0.007,0.007,0.003,0.881,0.006,0.006,0.006,0.004,0.005,0.003,0.003,0.003,0.005,0.003
ZFONF110,ZFONF1,C15,0.002,0.003,0.011,0.007,0.002,0.003,0.024,0.288,0.045,0.004,0.014,0.01,0.012,0.012,0.509,0.006,0.012,0.005,0.003,0.012,0.002,0.002,0.002,0.007,0.002
ZFONF111,ZFONF1,C15,0.004,0.004,0.01,0.008,0.007,0.003,0.014,0.035,0.007,0.01,0.023,0.007,0.005,0.009,0.785,0.007,0.007,0.003,0.011,0.004,0.008,0.005,0.008,0.008,0.008
ZFONF112,ZFONF1,C15,0.003,0.002,0.017,0.005,0.002,0.005,0.006,0.008,0.007,0.003,0.005,0.005,0.006,0.005,0.873,0.005,0.005,0.008,0.004,0.011,0.003,0.003,0.003,0.004,0.002
ZFONF113,ZFONF1,C15,0.003,0.003,0.01,0.008,0.005,0.014,0.008,0.021,0.005,0.004,0.005,0.034,0.011,0.018,0.772,0.005,0.016,0.005,0.011,0.008,0.006,0.002,0.005,0.008,0.013
ZFONF115,ZFONF1,C15,0.006,0.003,0.006,0.007,0.003,0.005,0.008,0.012,0.005,0.003,0.007,0.005,0.004,0.008,0.864,0.005,0.003,0.005,0.004,0.022,0.003,0.004,0.003,0.004,0.002
ZFONF116,ZFONF1,C15,0.017,0.003,0.023,0.014,0.003,0.006,0.012,0.033,0.031,0.004,0.061,0.007,0.005,0.078,0.631,0.005,0.004,0.006,0.005,0.03,0.004,0.005,0.004,0.005,0.003
ZFONF117,ZFONF1,C15,0.005,0.003,0.033,0.015,0.003,0.008,0.065,0.154,0.009,0.003,0.012,0.016,0.042,0.016,0.183,0.067,0.057,0.031,0.006,0.248,0.006,0.004,0.004,0.006,0.003
ZFONF118,ZFONF1,C15,0.01,0.005,0.011,0.017,0.003,0.007,0.018,0.009,0.039,0.004,0.029,0.022,0.03,0.009,0.635,0.087,0.007,0.012,0.01,0.014,0.003,0.006,0.003,0.007,0.002
ZFONF119,ZFONF1,C15,0.003,0.003,0.009,0.007,0.003,0.007,0.012,0.021,0.006,0.003,0.006,0.805,0.008,0.013,0.03,0.005,0.009,0.006,0.004,0.02,0.003,0.004,0.004,0.004,0.004
ZFONF120,ZFONF1,C15,0.002,0.002,0.007,0.004,0.002,0.006,0.009,0.006,0.004,0.002,0.005,0.897,0.005,0.006,0.005,0.005,0.004,0.003,0.004,0.006,0.002,0.003,0.002,0.004,0.003
ZFONF121,ZFONF1,C15,0.005,0.004,0.109,0.11,0.004,0.008,0.017,0.03,0.024,0.003,0.01,0.163,0.022,0.073,0.286,0.009,0.008,0.006,0.008,0.08,0.004,0.005,0.004,0.004,0.005
ZFONF122,ZFONF1,C15,0.019,0.003,0.008,0.017,0.003,0.01,0.256,0.065,0.015,0.005,0.047,0.041,0.027,0.015,0.252,0.11,0.011,0.011,0.012,0.045,0.005,0.006,0.004,0.01,0.002
ZFONF123,ZFONF1,C15,0.006,0.003,0.026,0.011,0.004,0.004,0.018,0.518,0.038,0.005,0.04,0.008,0.006,0.102,0.144,0.004,0.006,0.004,0.003,0.019,0.004,0.003,0.006,0.006,0.013
ZFONF124,ZFONF1,C15,0.002,0.002,0.009,0.005,0.002,0.004,0.005,0.008,0.004,0.003,0.004,0.005,0.005,0.005,0.904,0.004,0.004,0.003,0.003,0.005,0.002,0.002,0.003,0.003,0.004
ZFONF125,ZFONF1,C15,0.003,0.004,0.042,0.013,0.004,0.009,0.058,0.525,0.011,0.006,0.027,0.042,0.014,0.022,0.112,0.013,0.007,0.005,0.011,0.024,0.005,0.004,0.011,0.014,0.016
ZFONF126,ZFONF1,C15,0.009,0.003,0.011,0.008,0.003,0.007,0.022,0.019,0.033,0.004,0.255,0.007,0.013,0.045,0.502,0.009,0.006,0.005,0.006,0.01,0.004,0.004,0.003,0.011,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFONF201,ZFONF2,C3,0.024,0.03,0.424,0.088,0.016,0.006,0.036,0.014,0.013,0.015,0.014,0.067,0.016,0.048,0.015,0.006,0.019,0.003,0.009,0.013,0.017,0.036,0.007,0.025,0.037
ZFONF202,ZFONF2,C3,0.003,0.003,0.547,0.007,0.002,0.004,0.029,0.022,0.067,0.004,0.192,0.018,0.008,0.039,0.006,0.008,0.005,0.003,0.005,0.011,0.002,0.003,0.002,0.007,0.002
ZFONF203,ZFONF2,C3,0.005,0.003,0.84,0.006,0.003,0.008,0.01,0.007,0.007,0.005,0.014,0.019,0.006,0.01,0.004,0.007,0.004,0.003,0.013,0.008,0.004,0.004,0.003,0.005,0.003
ZFONF204,ZFONF2,C3,0.012,0.008,0.773,0.006,0.006,0.009,0.009,0.007,0.006,0.01,0.009,0.019,0.006,0.011,0.004,0.014,0.01,0.004,0.006,0.007,0.012,0.005,0.005,0.031,0.012
ZFONF206,ZFONF2,C3,0.011,0.015,0.764,0.006,0.009,0.003,0.008,0.01,0.01,0.026,0.019,0.007,0.005,0.009,0.005,0.004,0.006,0.003,0.006,0.006,0.017,0.007,0.015,0.01,0.018
ZFONF207,ZFONF2,C3,0.004,0.004,0.857,0.012,0.003,0.005,0.003,0.004,0.007,0.004,0.005,0.023,0.007,0.007,0.005,0.009,0.005,0.005,0.007,0.004,0.004,0.004,0.005,0.004,0.004
ZFONF208,ZFONF2,C3,0.006,0.005,0.411,0.054,0.003,0.006,0.025,0.017,0.031,0.007,0.019,0.251,0.023,0.027,0.006,0.035,0.007,0.006,0.013,0.015,0.007,0.003,0.005,0.016,0.004
ZFONF209,ZFONF2,C3,0.017,0.012,0.74,0.014,0.007,0.015,0.008,0.005,0.007,0.007,0.007,0.032,0.017,0.006,0.004,0.016,0.005,0.009,0.008,0.007,0.007,0.012,0.006,0.023,0.007
ZFONF210,ZFONF2,C3,0.003,0.003,0.768,0.022,0.002,0.003,0.008,0.006,0.012,0.002,0.007,0.084,0.014,0.006,0.006,0.011,0.006,0.006,0.003,0.009,0.003,0.004,0.003,0.004,0.003
ZFONF211,ZFONF2,C3,0.003,0.003,0.696,0.022,0.007,0.01,0.019,0.029,0.01,0.005,0.007,0.016,0.011,0.029,0.019,0.007,0.023,0.009,0.012,0.02,0.009,0.003,0.007,0.008,0.017
ZFONF212,ZFONF2,C3,0.003,0.003,0.757,0.011,0.002,0.003,0.008,0.007,0.013,0.002,0.006,0.095,0.027,0.006,0.009,0.008,0.009,0.005,0.003,0.01,0.003,0.003,0.003,0.002,0.003
ZFONF214,ZFONF2,C3,0.003,0.002,0.686,0.049,0.005,0.005,0.024,0.034,0.006,0.005,0.007,0.01,0.005,0.065,0.028,0.004,0.006,0.003,0.013,0.015,0.005,0.003,0.004,0.006,0.006
ZFONF215,ZFONF2,C3,0.003,0.002,0.832,0.009,0.002,0.004,0.011,0.017,0.009,0.003,0.009,0.008,0.006,0.011,0.026,0.005,0.004,0.003,0.004,0.017,0.002,0.002,0.002,0.004,0.002
ZFONF216,ZFONF2,C3,0.002,0.002,0.905,0.004,0.003,0.006,0.005,0.004,0.003,0.002,0.004,0.008,0.006,0.004,0.006,0.003,0.005,0.005,0.005,0.004,0.003,0.002,0.003,0.003,0.003
ZFONF217,ZFONF2,C3,0.004,0.002,0.748,0.02,0.003,0.005,0.009,0.008,0.015,0.003,0.021,0.01,0.007,0.091,0.011,0.004,0.006,0.004,0.004,0.01,0.002,0.002,0.002,0.004,0.004
ZFONF218,ZFONF2,C3,0.004,0.003,0.876,0.004,0.006,0.003,0.005,0.007,0.003,0.004,0.003,0.005,0.006,0.003,0.009,0.006,0.005,0.004,0.005,0.006,0.009,0.003,0.009,0.003,0.008
ZFONF219,ZFONF2,C3,0.002,0.002,0.916,0.003,0.002,0.002,0.004,0.006,0.003,0.002,0.004,0.005,0.004,0.004,0.012,0.003,0.003,0.003,0.002,0.007,0.002,0.002,0.003,0.003,0.002
ZFONF220,ZFONF2,C3,0.005,0.002,0.796,0.012,0.003,0.007,0.005,0.006,0.011,0.003,0.021,0.014,0.005,0.062,0.007,0.004,0.003,0.004,0.006,0.007,0.003,0.003,0.003,0.005,0.003
ZFONF222,ZFONF2,C3,0.003,0.003,0.897,0.004,0.007,0.004,0.003,0.004,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.005,0.003,0.005,0.003,0.006,0.003,0.009
ZFONF223,ZFONF2,C3,0.005,0.004,0.852,0.005,0.007,0.005,0.005,0.008,0.004,0.005,0.011,0.01,0.004,0.017,0.005,0.004,0.003,0.003,0.007,0.006,0.006,0.004,0.008,0.004,0.009
ZFONF224,ZFONF2,C3,0.002,0.002,0.922,0.004,0.002,0.003,0.004,0.004,0.004,0.002,0.004,0.004,0.004,0.003,0.006,0.003,0.003,0.004,0.004,0.004,0.003,0.002,0.002,0.003,0.002
ZFONF225,ZFONF2,C3,0.002,0.002,0.892,0.004,0.002,0.003,0.006,0.01,0.004,0.002,0.005,0.006,0.005,0.005,0.017,0.003,0.004,0.003,0.003,0.008,0.002,0.002,0.002,0.003,0.002
ZFONF226,ZFONF2,C3,0.004,0.003,0.843,0.006,0.003,0.009,0.009,0.007,0.007,0.003,0.011,0.024,0.006,0.01,0.005,0.007,0.004,0.004,0.01,0.01,0.003,0.003,0.003,0.005,0.003
ZFONF227,ZFONF2,C3,0.002,0.002,0.922,0.003,0.002,0.002,0.004,0.005,0.005,0.002,0.005,0.004,0.004,0.003,0.007,0.003,0.004,0.003,0.003,0.004,0.002,0.002,0.002,0.003,0.002
ZFONF228,ZFONF2,C3,0.006,0.003,0.845,0.006,0.003,0.005,0.005,0.007,0.011,0.004,0.013,0.004,0.007,0.008,0.01,0.009,0.013,0.01,0.004,0.008,0.004,0.004,0.004,0.004,0.003
ZFONF230,ZFONF2,C3,0.002,0.002,0.81,0.006,0.002,0.003,0.013,0.021,0.009,0.003,0.008,0.019,0.008,0.014,0.011,0.013,0.009,0.003,0.003,0.026,0.003,0.002,0.002,0.004,0.002
ZFONF231,ZFONF2,C3,0.003,0.002,0.848,0.008,0.005,0.003,0.009,0.012,0.007,0.004,0.011,0.004,0.006,0.014,0.005,0.004,0.008,0.005,0.014,0.004,0.005,0.002,0.005,0.007,0.005
ZFONF232,ZFONF2,C3,0.003,0.002,0.899,0.005,0.002,0.003,0.005,0.006,0.005,0.002,0.007,0.004,0.005,0.009,0.012,0.003,0.004,0.003,0.003,0.007,0.002,0.002,0.003,0.003,0.002
ZFONF233,ZFONF2,C3,0.003,0.002,0.913,0.004,0.002,0.005,0.004,0.004,0.005,0.003,0.005,0.006,0.004,0.005,0.005,0.004,0.003,0.004,0.003,0.004,0.002,0.002,0.003,0.004,0.002
ZFONF234,ZFONF2,C3,0.005,0.004,0.736,0.007,0.021,0.008,0.018,0.019,0.012,0.008,0.017,0.007,0.009,0.009,0.009,0.021,0.029,0.008,0.006,0.012,0.017,0.004,0.005,0.006,0.003
ZFONF235,ZFONF2,C3,0.002,0.002,0.925,0.004,0.002,0.003,0.004,0.005,0.004,0.003,0.005,0.004,0.003,0.004,0.005,0.003,0.003,0.003,0.003,0.004,0.002,0.002,0.003,0.004,0.002
ZFONF236,ZFONF2,C3,0.019,0.012,0.717,0.017,0.008,0.01,0.006,0.012,0.008,0.013,0.008,0.003,0.005,0.009,0.022,0.01,0.015,0.018,0.003,0.016,0.014,0.014,0.014,0.018,0.009
ZFONF238,ZFONF2,C3,0.004,0.003,0.836,0.006,0.002,0.004,0.011,0.009,0.014,0.005,0.025,0.008,0.004,0.008,0.005,0.016,0.005,0.002,0.009,0.006,0.004,0.003,0.003,0.006,0.002
ZFONF239,ZFONF2,C3,0.013,0.006,0.868,0.004,0.005,0.004,0.004,0.003,0.006,0.007,0.009,0.003,0.004,0.005,0.004,0.003,0.004,0.004,0.003,0.003,0.007,0.005,0.004,0.016,0.005
ZFONF240,ZFONF2,C3,0.002,0.002,0.908,0.004,0.002,0.003,0.005,0.005,0.006,0.003,0.005,0.004,0.004,0.003,0.006,0.008,0.005,0.004,0.003,0.004,0.002,0.002,0.002,0.007,0.002
ZFONF241,ZFONF2,C3,0.012,0.006,0.789,0.017,0.003,0.005,0.007,0.007,0.027,0.005,0.015,0.006,0.01,0.01,0.007,0.012,0.006,0.015,0.005,0.007,0.006,0.007,0.007,0.004,0.003
ZFONF242,ZFONF2,C3,0.002,0.002,0.864,0.006,0.002,0.003,0.01,0.013,0.014,0.003,0.01,0.009,0.005,0.007,0.01,0.005,0.005,0.003,0.003,0.008,0.003,0.002,0.002,0.006,0.003
ZFONF243,ZFONF2,C3,0.003,0.004,0.854,0.015,0.003,0.005,0.005,0.004,0.007,0.003,0.005,0.016,0.014,0.005,0.004,0.011,0.007,0.01,0.006,0.004,0.003,0.004,0.003,0.003,0.003
ZFONF244,ZFONF2,C3,0.002,0.002,0.886,0.006,0.002,0.004,0.007,0.008,0.004,0.003,0.004,0.007,0.005,0.007,0.018,0.004,0.004,0.003,0.003,0.007,0.002,0.002,0.002,0.004,0.003
ZFONF245,ZFONF2,C3,0.002,0.002,0.868,0.004,0.002,0.003,0.007,0.006,0.005,0.003,0.005,0.008,0.006,0.005,0.004,0.028,0.014,0.004,0.003,0.006,0.002,0.002,0.003,0.005,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFOS01,ZFO,C24,0.007,0.004,0.007,0.014,0.004,0.006,0.102,0.04,0.027,0.008,0.013,0.024,0.027,0.023,0.005,0.058,0.016,0.005,0.007,0.024,0.003,0.004,0.004,0.565,0.003
ZFOS02,ZFO,C24,0.123,0.019,0.01,0.016,0.012,0.008,0.106,0.042,0.022,0.026,0.02,0.012,0.024,0.013,0.032,0.063,0.008,0.013,0.007,0.029,0.008,0.011,0.006,0.364,0.007
ZFOS03,ZFO,C24,0.006,0.013,0.004,0.017,0.013,0.007,0.031,0.013,0.008,0.013,0.019,0.055,0.008,0.01,0.006,0.012,0.017,0.003,0.01,0.006,0.008,0.015,0.007,0.595,0.105
ZFOS04,ZFO,C24,0.01,0.034,0.005,0.019,0.006,0.022,0.253,0.058,0.025,0.017,0.017,0.023,0.037,0.011,0.007,0.027,0.017,0.011,0.005,0.029,0.024,0.039,0.008,0.293,0.004
ZFOS05,ZFO,C24,0.012,0.006,0.009,0.016,0.005,0.01,0.111,0.039,0.04,0.015,0.033,0.011,0.018,0.021,0.013,0.031,0.01,0.01,0.008,0.037,0.005,0.006,0.005,0.529,0.003
ZFOS06,ZFO,C24,0.006,0.005,0.012,0.012,0.005,0.006,0.026,0.022,0.009,0.005,0.018,0.008,0.017,0.015,0.014,0.007,0.01,0.019,0.014,0.013,0.009,0.006,0.006,0.732,0.006
ZFOS07,ZFO,C24,0.007,0.021,0.005,0.015,0.009,0.095,0.017,0.009,0.01,0.022,0.032,0.016,0.004,0.007,0.011,0.02,0.008,0.006,0.005,0.006,0.01,0.057,0.005,0.6,0.003
ZFOS08,ZFO,C24,0.018,0.036,0.007,0.014,0.005,0.058,0.032,0.013,0.008,0.008,0.019,0.017,0.011,0.006,0.052,0.029,0.008,0.02,0.004,0.009,0.021,0.078,0.008,0.52,0.003
ZFOS09,ZFO,C24,0.015,0.021,0.006,0.026,0.013,0.003,0.208,0.047,0.027,0.055,0.04,0.021,0.024,0.023,0.006,0.02,0.021,0.005,0.007,0.009,0.014,0.014,0.007,0.347,0.02
ZFOS10,ZFO,C24,0.034,0.048,0.002,0.005,0.034,0.008,0.007,0.004,0.005,0.049,0.003,0.003,0.005,0.004,0.003,0.009,0.006,0.017,0.004,0.005,0.027,0.02,0.012,0.673,0.011
ZFOS11,ZFO,C24,0.005,0.005,0.007,0.032,0.005,0.043,0.066,0.022,0.011,0.101,0.007,0.016,0.074,0.014,0.004,0.106,0.04,0.101,0.007,0.028,0.05,0.006,0.007,0.238,0.004
ZFOS12,ZFO,C24,0.008,0.016,0.005,0.034,0.017,0.341,0.042,0.043,0.008,0.058,0.009,0.007,0.028,0.013,0.014,0.012,0.02,0.031,0.081,0.026,0.026,0.019,0.048,0.079,0.014
ZFOS13,ZFO,C24,0.008,0.007,0.004,0.02,0.007,0.012,0.034,0.016,0.015,0.021,0.093,0.013,0.006,0.013,0.01,0.04,0.021,0.009,0.014,0.006,0.012,0.026,0.006,0.582,0.004
ZFOS14,ZFO,C24,0.009,0.189,0.008,0.034,0.016,0.026,0.044,0.017,0.01,0.044,0.007,0.016,0.041,0.013,0.005,0.104,0.029,0.09,0.016,0.022,0.007,0.007,0.009,0.229,0.007
ZFOS15,ZFO,C24,0.005,0.008,0.003,0.004,0.004,0.055,0.005,0.004,0.004,0.006,0.005,0.003,0.004,0.003,0.003,0.006,0.003,0.005,0.004,0.004,0.01,0.01,0.006,0.832,0.003
ZFOS16,ZFO,C24,0.012,0.023,0.007,0.019,0.012,0.01,0.075,0.035,0.065,0.031,0.023,0.009,0.018,0.021,0.007,0.031,0.014,0.023,0.004,0.046,0.012,0.013,0.006,0.476,0.008
ZFOS17,ZFO,C24,0.015,0.01,0.005,0.004,0.013,0.006,0.007,0.004,0.003,0.009,0.006,0.007,0.006,0.005,0.004,0.006,0.004,0.005,0.008,0.004,0.006,0.01,0.005,0.84,0.01
ZFOS18,ZFO,C24,0.022,0.01,0.003,0.006,0.008,0.009,0.014,0.008,0.009,0.021,0.006,0.004,0.009,0.006,0.004,0.014,0.008,0.014,0.005,0.01,0.015,0.008,0.012,0.765,0.011
ZFOS19,ZFO,C24,0.004,0.005,0.004,0.004,0.006,0.008,0.004,0.004,0.003,0.006,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.01,0.003,0.009,0.005,0.006,0.888,0.003
ZFOS20,ZFO,C24,0.006,0.034,0.009,0.006,0.009,0.008,0.013,0.011,0.009,0.018,0.013,0.006,0.007,0.006,0.009,0.005,0.004,0.009,0.004,0.009,0.014,0.015,0.005,0.765,0.007
ZFOS21,ZFO,C24,0.007,0.007,0.004,0.024,0.007,0.01,0.036,0.019,0.039,0.008,0.008,0.011,0.012,0.023,0.005,0.027,0.023,0.008,0.003,0.047,0.004,0.005,0.004,0.654,0.004
ZFOS22,ZFO,C24,0.003,0.003,0.008,0.013,0.005,0.017,0.015,0.018,0.008,0.005,0.012,0.008,0.008,0.011,0.01,0.015,0.012,0.007,0.015,0.007,0.006,0.003,0.006,0.784,0.005
ZFOS23,ZFO,C24,0.005,0.337,0.002,0.003,0.015,0.005,0.004,0.004,0.003,0.02,0.003,0.002,0.003,0.003,0.003,0.005,0.005,0.013,0.005,0.003,0.014,0.008,0.007,0.521,0.007
ZFOS24,ZFO,C24,0.005,0.003,0.003,0.006,0.003,0.01,0.008,0.004,0.007,0.007,0.003,0.003,0.007,0.005,0.002,0.011,0.009,0.015,0.004,0.004,0.008,0.003,0.007,0.859,0.003
ZFOS25,ZFO,C24,0.012,0.007,0.013,0.041,0.005,0.01,0.082,0.021,0.011,0.011,0.088,0.015,0.021,0.008,0.007,0.125,0.124,0.063,0.015,0.009,0.008,0.011,0.009,0.279,0.004
ZFOS26,ZFO,C24,0.015,0.009,0.005,0.022,0.005,0.012,0.415,0.09,0.019,0.012,0.017,0.013,0.04,0.008,0.01,0.078,0.022,0.019,0.006,0.018,0.012,0.012,0.009,0.126,0.005
ZFOS27,ZFO,C24,0.006,0.008,0.006,0.014,0.004,0.019,0.04,0.049,0.02,0.005,0.02,0.013,0.02,0.019,0.014,0.013,0.008,0.015,0.005,0.078,0.005,0.006,0.005,0.598,0.01
ZFOS28,ZFO,C24,0.035,0.023,0.004,0.011,0.023,0.009,0.029,0.011,0.014,0.024,0.007,0.011,0.026,0.013,0.004,0.028,0.018,0.011,0.008,0.021,0.012,0.014,0.008,0.623,0.014
ZFOS29,ZFO,C24,0.005,0.052,0.011,0.011,0.013,0.013,0.017,0.013,0.011,0.013,0.011,0.01,0.016,0.011,0.007,0.007,0.007,0.016,0.004,0.016,0.016,0.016,0.006,0.683,0.015
ZFOS30,ZFO,C24,0.006,0.006,0.008,0.012,0.006,0.012,0.023,0.015,0.013,0.008,0.024,0.027,0.009,0.019,0.007,0.018,0.008,0.003,0.008,0.014,0.003,0.006,0.003,0.737,0.003
ZFOS31,ZFO,C24,0.004,0.079,0.022,0.021,0.007,0.053,0.068,0.02,0.01,0.035,0.022,0.142,0.029,0.025,0.007,0.063,0.012,0.009,0.121,0.015,0.004,0.006,0.006,0.216,0.004
ZFOS32,ZFO,C24,0.012,0.013,0.007,0.02,0.006,0.003,0.095,0.022,0.021,0.028,0.033,0.016,0.014,0.008,0.009,0.016,0.012,0.009,0.004,0.008,0.007,0.016,0.005,0.609,0.008
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFPB01,ZFBP,C25,0.004,0.004,0.002,0.002,0.008,0.005,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.003,0.002,0.005,0.004,0.005,0.004,0.921
ZFPB02,ZFBP,C25,0.003,0.003,0.005,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.003,0.004,0.002,0.004,0.003,0.919
ZFPB03,ZFBP,C25,0.003,0.004,0.002,0.002,0.005,0.005,0.003,0.004,0.002,0.003,0.002,0.004,0.004,0.003,0.003,0.002,0.003,0.005,0.002,0.006,0.003,0.004,0.004,0.004,0.916
ZFPB05,ZFBP,C25,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.941
