Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-231,/MBC,CF,5.148,ENP,WB,4.678,TS,4.664,ENP,4.635,LB,4.628
TMA-ZAIN-G-232,/MBC,SW,4.512,ENP,B,4.42,TS,4.402,ZFI,4.389,CR,4.352
TMA-ZAIN-G-233,/MBC,CF,4.583,ENP,WB,4.522,B,4.466,ENP,4.398,LB,4.237
TMA-ZAIN-G-234,/MBC,WB,4.448,ENP,CR,4.438,ENP,4.36,B,4.281,SW,4.257
TMA-ZAIN-G-235,/MBC,SW,4.751,ENP,B,4.679,SF,4.576,CR,4.573,W,4.541
TMA-ZAIN-G-236,/MBC,B,5.126,ENP,BP,4.955,SW,4.718,TS,4.601,LB,4.394
TMA-ZAIN-G-237,/MBC,BP,5.037,ENP,LB,4.488,ENP,4.378,CC,4.37,B,4.344
TMA-ZAIN-G-238,/MBC,BP,5.073,ENP,TS,4.718,LB,4.679,CF,4.675,B,4.525
TMA-ZAIN-G-239,/MBC,ENP,4.408,ENP,B,4.371,CR,4.345,TS,4.321,ONF,4.248
TMA-ZAIN-G-240,/MBC,B,4.748,PB,LB,4.469,BP,4.263,K,4.257,CR,4.154
TMA-ZAIN-G-241,/MBC,WB,4.417,PB,CR,4.38,TS,4.376,ENP,4.372,B,4.357
TMA-ZAIN-G-242,/MBC,B,4.53,PB,BP,4.403,BP,4.392,BP,4.372,CR,4.331
TMA-ZAIN-G-243,/MBC,B,4.64,PB,BP,4.331,ENP,4.29,CR,4.273,BP,4.264
TMA-ZAIN-G-244,/MBC,B,4.554,PB,BP,4.415,BP,4.384,BP,4.367,ENP,4.323
TMA-ZAIN-G-245,/MBC,B,4.704,PB,BP,4.458,BP,4.283,CR,4.241,ENP,4.203
TMA-ZAIN-G-246,/MBC,B,4.571,PB,SF,4.462,BP,4.249,CR,4.235,ENP,4.23
TMA-ZAIN-G-248,/MBC,B,4.514,PB,K,4.432,TS,4.412,CR,4.211,LB,4.2
TMA-ZAIN-G-249,/MBC,B,4.53,PB,K,4.448,ENP,4.343,LB,4.288,BP,4.246
TMA-ZAIN-G-250,/MBC,B,4.858,PB,TS,4.427,CR,4.389,ENP,4.333,BP,4.23
TMA-ZAIN-G-251,/MBC,B,4.727,PB,TS,4.546,K,4.404,BP,4.313,ENP,4.28
TMA-ZAIN-G-252,/MBC,B,4.637,PB,TS,4.293,LB,4.253,K,4.203,CR,4.156
TMA-ZAIN-G-253,/MBC,SF,4.906,CC,CC,4.542,SW,4.416,CR,4.337,B,4.222
TMA-ZAIN-G-254,/MBC,CC,4.663,CC,SF,4.529,WB,4.523,O,4.456,CR,4.348
TMA-ZAIN-G-255,/MBC,SF,4.813,CC,O,4.574,CC,4.326,B,4.276,CR,4.252
TMA-ZAIN-G-256,/MBC,SF,5.093,CC,B,4.52,CR,4.497,WB,4.452,CF,4.255
TMA-ZAIN-G-257,/MBC,SF,4.506,CC,O,4.435,CC,4.412,WB,4.371,B,4.264
TMA-ZAIN-G-258,/MBC,TSP,4.37,CC,WB,4.304,O,4.262,B,4.228,TSP,4.188
TMA-ZAIN-G-259,/MBC,WB,4.411,CC,CC,4.402,SW,4.311,CR,4.3,SF,4.298
TMA-ZAIN-G-260,/MBC,SF,4.561,CC,CC,4.467,WB,4.462,CR,4.451,O,4.3
TMA-ZAIN-G-261,/MBC,SW,4.565,CC,WB,4.458,CC,4.457,CR,4.355,ENP,4.301
TMA-ZAIN-G-262,/MBC,WB,4.799,CC,TS,4.367,SW,4.345,CR,4.344,SF,4.299
TMA-ZAIN-G-263,/MBC,SW,4.683,CC,B,4.507,SF,4.463,TS,4.407,CC,4.346
TMA-ZAIN-G-264,/MBC,SF,4.697,CC,CR,4.496,CC,4.405,SW,4.383,WB,4.312
TMA-ZAIN-G-265,/MBC,SF,4.885,CC,SW,4.584,CR,4.402,CC,4.369,O,4.329
TMA-ZAIN-G-266,/MBC,SF,4.748,CC,CR,4.454,WB,4.453,CC,4.394,SW,4.326
TMA-ZAIN-G-267,/MBC,BP,5.159,NWS_South,LB,4.985,CF,4.577,ENP,4.488,B,4.361
TMA-ZAIN-G-268,/MBC,CC,4.668,NWS_South,SF,4.495,TS,4.416,ENP,4.362,CF,4.308
TMA-ZAIN-G-269,/MBC,TS,5.055,NWS_South,B,4.58,WB,4.561,CF,4.495,ENP,4.447
TMA-ZAIN-G-270,/MBC,SF,4.549,TS,WB,4.541,SW,4.537,B,4.491,ZFSW2,4.454
TMA-ZAIN-G-271,/MBC,SW,4.75,TS,B,4.591,TS,4.563,ZFI,4.553,ZFSW2,4.377
TMA-ZAIN-G-272,/MBC,SW,4.667,TS,TS,4.624,B,4.541,ZFI,4.399,ZFSW2,4.223
TMA-ZAIN-G-273,/MBC,B,4.737,TS,ENP,4.558,SF,4.444,TS,4.438,CF,4.413
TMA-ZAIN-G-274,/MBC,TS,4.921,TS,B,4.894,ZFI,4.709,SF,4.638,CF,4.461
TMA-ZAIN-G-275,/MBC,SF,4.799,TS,B,4.7,TS,4.658,ZFI,4.606,CF,4.455
TMA-ZAIN-G-276,/MBC,WB,4.915,TS,SW,4.814,SF,4.595,CR,4.531,B,4.378
TMA-ZAIN-G-277,/MBC,WB,4.576,TS,B,4.573,SF,4.513,CF,4.37,ENP,4.36
TMA-ZAIN-G-278,/MBC,B,4.603,TS,BP,4.307,ENP,4.286,WB,4.283,SW,4.273
TMA-ZAIN-G-279,/MBC,WB,4.536,TS,B,4.526,TS,4.378,SW,4.355,CR,4.334
TMA-ZAIN-G-280,/MBC,TS,4.516,TS,B,4.441,WB,4.411,K,4.374,CF,4.264
TMA-ZAIN-G-281,/MBC,SF,4.892,TS,WB,4.732,ZFI,4.569,SW,4.544,B,4.514
TMA-ZAIN-G-282,/MBC,SF,4.565,TS,ZFI,4.477,B,4.468,CF,4.393,TS,4.388
TMA-ZAIN-G-283,/MBC,TS,4.55,TS,B,4.442,ZFI,4.429,SF,4.402,CF,4.31
TMA-ZAIN-G-284,/MBC,WB,4.984,TS,B,4.81,SF,4.608,CF,4.563,ENP,4.491
TMA-ZAIN-G-285,/MBC,SF,5.04,TS,CR,4.901,B,4.686,WB,4.648,SW,4.634
TMA-ZAIN-G-286,/MBC,CR,4.945,TS,SW,4.852,SF,4.802,WB,4.551,B,4.539
TMA-ZAIN-G-287,/MBC,SF,5.044,TS,SW,4.825,WB,4.807,CR,4.794,B,4.547
TMA-ZAIN-G-288,/MBC,WB,4.924,TS,SF,4.902,SW,4.816,CR,4.715,B,4.564
TMA-ZAIN-G-289,/MBC,WB,5.132,TS,SF,5.023,SW,5.008,CR,4.729,B,4.573
TMA-ZAIN-G-290,/MBC,SF,5.331,TS,WB,5.058,ZFI,4.75,B,4.721,TS,4.653
TMA-ZAIN-G-291,/MBC,WB,5.057,TS,SF,4.955,TS,4.761,B,4.698,CR,4.618
TMA-ZAIN-G-292,/MBC,SF,4.867,TS,WB,4.758,CR,4.66,ZFI,4.508,B,4.497
TMA-ZAIN-G-293,/MBC,SF,5.065,NWS_South,B,4.755,SW,4.753,CR,4.498,ZFI,4.436
TMA-ZAIN-G-294,/MBC,ONF,4.882,NWS_North,BP,4.66,BP,4.635,TSP,4.468,BP,4.451
TMA-ZAIN-G-295,/MBC,B,4.503,NWS_North,BP,4.385,ONF,4.381,BP,4.375,ZFFDSP,4.323
TMA-ZAIN-G-296,/MBC,BP,4.67,NWS_North,ONF,4.606,BP,4.584,LB,4.542,TSP,4.423
TMA-ZAIN-G-297,/MBC,CF,4.515,NWS_North,ENP,4.495,B,4.475,ONF,4.465,WB,4.399
