Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0292,/CBG,Magazine,98.653,NA,Pryor,1.205,Porter,0.142,Sugar_Loaf,0
QAc-G-0293,/CBG,Magazine,93.938,NA,Pryor,6.048,Porter,0.013,Sugar_Loaf,0
QAc-G-0294,/CBG,Porter,63.695,NA,Magazine,35.409,Sugar_Loaf,0.895,Pryor,0
QAc-G-0295,/CBG,Magazine,99.84,NA,Pryor,0.138,Porter,0.021,Sugar_Loaf,0.001
QAc-G-0296,/CBG,Pryor,77.522,NA,Magazine,22.086,Porter,0.337,Sugar_Loaf,0.054
QAc-G-0297,/CBG,Magazine,94.926,NA,Porter,3.63,Pryor,1.436,Sugar_Loaf,0.007
QAc-G-0298,/CBG,Porter,80.167,NA,Magazine,19.589,Pryor,0.217,Sugar_Loaf,0.027
QAc-G-0299,/CBG,Magazine,98.067,NA,Porter,1.581,Pryor,0.348,Sugar_Loaf,0.003
QAc-G-0300,/CBG,Porter,83.223,NA,Pryor,12.263,Magazine,4.406,Sugar_Loaf,0.108
QAc-G-0301,/CBG,Magazine,99.957,NA,Pryor,0.04,Porter,0.003,Sugar_Loaf,0
QAc-G-0302,/CBG,Magazine,90.369,NA,Porter,9.524,Sugar_Loaf,0.09,Pryor,0.017
QAc-G-0303,/CBG,Magazine,89.328,NA,Porter,9.83,Pryor,0.706,Sugar_Loaf,0.136
QAc-G-0304,/CBG,Magazine,84.354,NA,Pryor,15.321,Porter,0.325,Sugar_Loaf,0
QAc-G-0305,/CBG,Magazine,99.91,NA,Pryor,0.089,Porter,0.001,Sugar_Loaf,0
QAc-G-0306,/CBG,Magazine,53.078,NA,Pryor,44.697,Porter,2.224,Sugar_Loaf,0.001
QAc-G-0307,/CBG,Magazine,83.873,NA,Pryor,16.068,Porter,0.057,Sugar_Loaf,0.003
QAc-G-0308,/CBG,Magazine,99.704,NA,Pryor,0.277,Sugar_Loaf,0.014,Porter,0.006
QAc-G-0309,/CBG,Pryor,96.132,NA,Magazine,3.817,Porter,0.051,Sugar_Loaf,0
QAc-G-0310,/CBG,Pryor,99.731,NA,Magazine,0.172,Porter,0.097,Sugar_Loaf,0
QAc-G-0311,/CBG,Pryor,98.182,NA,Magazine,1.808,Porter,0.008,Sugar_Loaf,0.001
QAc-G-0312,/CBG,Magazine,99.893,NA,Pryor,0.104,Sugar_Loaf,0.003,Porter,0
QAc-G-0313,/CBG,Porter,38.421,NA,Sugar_Loaf,36.977,Pryor,14.082,Magazine,10.52
QAc-G-0314,/CBG,Porter,93.012,NA,Magazine,6.632,Sugar_Loaf,0.299,Pryor,0.057
QAc-G-0315,/CBG,Porter,98.315,NA,Pryor,1.683,Sugar_Loaf,0.002,Magazine,0
QAc-G-0316,/CBG,Pryor,66.494,NA,Porter,26.943,Magazine,6.559,Sugar_Loaf,0.005
