Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8
QAc-W-0147,Sugar_Loaf,0.005,0.003,0.005,0.005,0.97,0.003,0.004,0.005
QAc-W-0148,Sugar_Loaf,0.006,0.005,0.006,0.007,0.963,0.004,0.003,0.006
QAc-W-0149,Sugar_Loaf,0.056,0.014,0.016,0.009,0.809,0.08,0.01,0.005
QAc-W-0150,Sugar_Loaf,0.029,0.016,0.063,0.013,0.851,0.008,0.013,0.007
QAc-W-0151,Sugar_Loaf,0.013,0.007,0.013,0.011,0.939,0.005,0.007,0.006
QAc-W-0152,Sugar_Loaf,0.007,0.007,0.005,0.006,0.957,0.007,0.004,0.008
QAc-W-0153,Sugar_Loaf,0.553,0.017,0.007,0.342,0.022,0.005,0.03,0.024
QAc-W-0154,Sugar_Loaf,0.146,0.014,0.049,0.019,0.758,0.003,0.006,0.004
QAc-W-0155,Sugar_Loaf,0.007,0.007,0.006,0.005,0.962,0.004,0.003,0.005
QAc-W-0156,Sugar_Loaf,0.052,0.013,0.069,0.015,0.791,0.005,0.053,0.003
QAc-W-0157,Sugar_Loaf,0.093,0.008,0.006,0.016,0.848,0.012,0.003,0.014
QAc-W-0158,Sugar_Loaf,0.017,0.005,0.051,0.011,0.848,0.005,0.052,0.01
QAc-W-0159,Sugar_Loaf,0.01,0.006,0.01,0.007,0.954,0.006,0.005,0.003
QAc-W-0160,Sugar_Loaf,0.137,0.005,0.017,0.006,0.819,0.005,0.005,0.006
QAc-W-0161,Sugar_Loaf,0.024,0.006,0.042,0.006,0.897,0.017,0.006,0.003
QAc-W-0162,Sugar_Loaf,0.016,0.013,0.004,0.008,0.793,0.019,0.005,0.143
QAc-W-0163,Sugar_Loaf,0.024,0.059,0.004,0.007,0.886,0.011,0.004,0.005
QAc-W-0164,Sugar_Loaf,0.025,0.012,0.007,0.012,0.913,0.008,0.006,0.015
QAc-W-0165,Sugar_Loaf,0.051,0.013,0.004,0.014,0.887,0.003,0.003,0.025
QAc-W-0166,Sugar_Loaf,0.017,0.013,0.042,0.009,0.9,0.006,0.006,0.007
NA,NA,0,0,0,0,0,0,0,0
QAc-W-0167,Kessler,0.005,0.005,0.003,0.972,0.004,0.003,0.004,0.004
QAc-W-0168,Kessler,0.62,0.019,0.016,0.166,0.102,0.022,0.006,0.049
QAc-W-0169,Kessler,0.847,0.077,0.018,0.035,0.006,0.006,0.003,0.007
QAc-W-0170,Kessler,0.677,0.05,0.016,0.23,0.009,0.007,0.005,0.004
QAc-W-0171,Kessler,0.004,0.005,0.003,0.973,0.004,0.003,0.004,0.004
QAc-W-0172,Kessler,0.912,0.008,0.009,0.053,0.007,0.004,0.005,0.002
QAc-W-0173,Kessler,0.01,0.006,0.006,0.954,0.007,0.005,0.006,0.007
QAc-W-0174,Kessler,0.23,0.024,0.006,0.703,0.015,0.007,0.006,0.01
