Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
QAc-G-0249,0,0.007,0.008,0.005,0.017,0.021,0.909,0.005,0.013,0.012,0.002
QAc-G-0025,0,0.002,0.002,0.005,0.003,0.002,0.002,0.003,0.975,0.003,0.002
QAc-G-0028,0,0.006,0.003,0.027,0.051,0.011,0.035,0.834,0.016,0.013,0.005
QAc-G-0275,0,0.004,0.003,0.948,0.004,0.004,0.003,0.007,0.011,0.013,0.002
QAc-G-0263,0,0.478,0.009,0.027,0.006,0.314,0.138,0.004,0.007,0.012,0.006
QAc-W-0001,0,0.003,0.01,0.004,0.951,0.004,0.004,0.005,0.004,0.002,0.014
QAc-W-0002,0,0.009,0.035,0.005,0.423,0.021,0.026,0.445,0.004,0.027,0.004
QAc-W-0003,0,0.046,0.019,0.054,0.819,0.015,0.004,0.02,0.008,0.008,0.008
QAc-W-0004,0,0.004,0.003,0.005,0.953,0.003,0.005,0.009,0.008,0.005,0.004
QAc-W-0005,0,0.007,0.004,0.003,0.959,0.004,0.006,0.004,0.004,0.005,0.005
QAc-W-0006,0,0.003,0.006,0.004,0.96,0.005,0.006,0.005,0.004,0.004,0.004
QAc-W-0007,-13,0.003,0.003,0.004,0.96,0.004,0.006,0.009,0.004,0.003,0.004
QAc-W-0008,-6,0.004,0.005,0.003,0.925,0.022,0.026,0.007,0.002,0.004,0.003
QAc-W-0009,0,0.005,0.162,0.01,0.055,0.081,0.031,0.628,0.004,0.018,0.006
QAc-W-0010,0,0.038,0.018,0.007,0.672,0.108,0.072,0.048,0.004,0.007,0.025
QAc-W-0011,0,0.018,0.019,0.008,0.732,0.05,0.005,0.111,0.005,0.037,0.015
QAc-W-0012,0,0.004,0.005,0.004,0.919,0.009,0.006,0.03,0.006,0.011,0.006
QAc-W-0013,0,0.006,0.049,0.097,0.226,0.015,0.006,0.552,0.039,0.008,0.004
QAc-W-0014,0,0.004,0.003,0.003,0.939,0.005,0.014,0.019,0.004,0.003,0.005
QAc-W-0015,0,0.061,0.012,0.02,0.826,0.008,0.02,0.027,0.008,0.014,0.003
QAc-W-0016,0,0.03,0.013,0.011,0.601,0.225,0.059,0.022,0.031,0.005,0.003
QAc-W-0017,0,0.138,0.062,0.054,0.415,0.153,0.137,0.017,0.005,0.008,0.011
QAc-W-0018,0,0.004,0.02,0.028,0.636,0.249,0.018,0.023,0.012,0.003,0.008
QAc-W-0019,0,0.004,0.006,0.005,0.948,0.005,0.009,0.009,0.007,0.005,0.004
QAc-W-0020,0,0.005,0.005,0.003,0.886,0.042,0.006,0.013,0.003,0.003,0.035
QAc-W-0021,0,0.004,0.091,0.027,0.282,0.251,0.053,0.073,0.192,0.011,0.015
QAc-W-0022,0,0.091,0.02,0.014,0.438,0.177,0.159,0.067,0.018,0.008,0.009
QAc-W-0023,-6,0.005,0.192,0.011,0.344,0.083,0.103,0.157,0.025,0.003,0.077
QAc-W-0024,0,0.005,0.009,0.032,0.802,0.021,0.014,0.003,0.069,0.041,0.005
QAc-W-0025,0,0.003,0.005,0.013,0.806,0.012,0.014,0.137,0.003,0.004,0.004
QAc-W-0026,0,0.012,0.009,0.014,0.845,0.022,0.02,0.005,0.011,0.026,0.036
QAc-W-0027,0,0.003,0.006,0.003,0.957,0.006,0.007,0.006,0.003,0.006,0.003
QAc-W-0028,0,0.005,0.008,0.003,0.942,0.008,0.009,0.016,0.003,0.004,0.003
QAc-W-0029,0,0.003,0.012,0.007,0.146,0.013,0.005,0.791,0.007,0.004,0.01
QAc-W-0030,0,0.008,0.007,0.006,0.046,0.01,0.006,0.879,0.004,0.014,0.021
QAc-W-0031,0,0.003,0.006,0.026,0.881,0.006,0.005,0.019,0.047,0.004,0.003
QAc-W-0032,0,0.003,0.003,0.004,0.894,0.006,0.014,0.059,0.004,0.002,0.013
QAc-W-0033,0,0.007,0.007,0.011,0.178,0.591,0.043,0.133,0.006,0.005,0.018
QAc-W-0034,0,0.003,0.036,0.003,0.87,0.011,0.011,0.05,0.007,0.004,0.005
QAc-W-0035,0,0.024,0.005,0.011,0.795,0.037,0.034,0.046,0.01,0.032,0.006
QAc-W-0036,0,0.003,0.005,0.003,0.941,0.005,0.005,0.005,0.003,0.003,0.027
QAc-W-0037,0,0.004,0.004,0.006,0.935,0.006,0.005,0.008,0.009,0.013,0.01
QAc-W-0038,0,0.023,0.009,0.008,0.872,0.019,0.008,0.028,0.007,0.016,0.011
QAc-W-0039,0,0.005,0.006,0.008,0.936,0.004,0.005,0.007,0.004,0.012,0.012
QAc-W-0040,0,0.007,0.004,0.013,0.714,0.032,0.198,0.005,0.003,0.006,0.018
QAc-W-0041,0,0.004,0.035,0.102,0.716,0.038,0.014,0.066,0.007,0.015,0.004
QAc-W-0042,0,0.011,0.627,0.04,0.017,0.031,0.007,0.017,0.003,0.023,0.221
QAc-W-0043,0,0.01,0.89,0.013,0.027,0.01,0.005,0.007,0.003,0.027,0.008
QAc-W-0044,0,0.048,0.373,0.007,0.063,0.032,0.091,0.08,0.004,0.027,0.275
QAc-W-0045,0,0.004,0.918,0.009,0.012,0.015,0.006,0.006,0.005,0.009,0.016
QAc-W-0046,0,0.004,0.9,0.025,0.015,0.008,0.006,0.01,0.005,0.016,0.011
QAc-W-0047,0,0.026,0.844,0.003,0.035,0.009,0.02,0.023,0.004,0.008,0.027
QAc-W-0048,0,0.004,0.901,0.004,0.017,0.013,0.005,0.005,0.008,0.004,0.039
QAc-W-0049,0,0.003,0.899,0.005,0.007,0.008,0.005,0.004,0.009,0.004,0.055
QAc-W-0050,0,0.005,0.295,0.007,0.005,0.641,0.011,0.005,0.018,0.006,0.007
QAc-W-0051,0,0.047,0.113,0.008,0.008,0.776,0.005,0.011,0.005,0.007,0.02
QAc-W-0052,0,0.003,0.003,0.002,0.004,0.002,0.003,0.005,0.003,0.004,0.971
QAc-W-0053,0,0.005,0.935,0.004,0.011,0.008,0.008,0.012,0.003,0.004,0.009
QAc-W-0054,0,0.067,0.025,0.005,0.007,0.756,0.035,0.01,0.004,0.05,0.04
QAc-W-0055,0,0.106,0.048,0.015,0.007,0.446,0.021,0.005,0.034,0.311,0.006
QAc-W-0056,0,0.014,0.009,0.011,0.026,0.892,0.008,0.016,0.011,0.006,0.006
QAc-W-0057,0,0.161,0.157,0.021,0.016,0.549,0.008,0.007,0.067,0.004,0.008
QAc-W-0058,0,0.015,0.412,0.027,0.004,0.311,0.004,0.004,0.201,0.012,0.009
QAc-W-0059,0,0.004,0.97,0.002,0.004,0.003,0.003,0.003,0.003,0.004,0.004
QAc-W-0060,0,0.888,0.008,0.003,0.021,0.009,0.006,0.008,0.002,0.011,0.044
QAc-W-0061,0,0.753,0.039,0.011,0.05,0.024,0.033,0.005,0.017,0.063,0.004
QAc-W-0062,0,0.945,0.003,0.008,0.004,0.004,0.007,0.003,0.003,0.008,0.015
QAc-W-0063,0,0.917,0.004,0.011,0.01,0.011,0.012,0.009,0.005,0.009,0.012
QAc-W-0064,0,0.93,0.004,0.007,0.007,0.008,0.007,0.011,0.004,0.016,0.004
QAc-W-0065,0,0.881,0.011,0.006,0.023,0.027,0.028,0.006,0.008,0.006,0.005
QAc-W-0066,0,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.004,0.974,0.002
QAc-W-0067,0,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.976,0.003
QAc-W-0068,0,0.006,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.974,0.002
QAc-W-0069,0,0.006,0.002,0.003,0.004,0.003,0.003,0.003,0.004,0.971,0.002
QAc-W-0070,0,0.387,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.592,0.002
QAc-W-0071,-6,0.704,0.005,0.005,0.005,0.005,0.004,0.004,0.012,0.253,0.004
QAc-W-0072,0,0.81,0.003,0.008,0.018,0.016,0.128,0.004,0.004,0.004,0.004
QAc-W-0073,0,0.897,0.045,0.005,0.01,0.01,0.008,0.008,0.006,0.004,0.007
QAc-W-0074,0,0.968,0.003,0.004,0.004,0.003,0.004,0.003,0.004,0.004,0.003
QAc-W-0075,0,0.959,0.002,0.004,0.003,0.003,0.003,0.003,0.006,0.015,0.002
QAc-W-0076,0,0.939,0.004,0.004,0.004,0.004,0.025,0.003,0.011,0.004,0.002
QAc-W-0077,0,0.828,0.008,0.005,0.008,0.006,0.005,0.004,0.002,0.129,0.004
QAc-W-0078,0,0.007,0.005,0.353,0.046,0.202,0.111,0.027,0.146,0.092,0.011
QAc-W-0079,-6,0.008,0.007,0.006,0.012,0.005,0.008,0.006,0.923,0.021,0.005
QAc-W-0080,-13,0.003,0.007,0.005,0.023,0.008,0.004,0.016,0.93,0.003,0.002
QAc-W-0081,0,0.004,0.003,0.947,0.004,0.004,0.004,0.005,0.02,0.004,0.005
QAc-W-0082,0,0.006,0.083,0.502,0.005,0.385,0.004,0.005,0.005,0.003,0.002
QAc-W-0083,0,0.031,0.006,0.881,0.012,0.008,0.017,0.01,0.014,0.011,0.011
QAc-W-0084,0,0.003,0.002,0.965,0.004,0.003,0.003,0.004,0.008,0.004,0.005
QAc-W-0085,0,0.003,0.002,0.975,0.002,0.003,0.003,0.002,0.003,0.004,0.003
QAc-W-0086,0,0.003,0.003,0.961,0.004,0.004,0.006,0.004,0.006,0.005,0.003
QAc-W-0087,0,0.003,0.011,0.94,0.005,0.006,0.008,0.003,0.017,0.005,0.002
QAc-W-0088,0,0.004,0.023,0.917,0.004,0.021,0.005,0.004,0.017,0.003,0.003
QAc-W-0089,0,0.005,0.003,0.855,0.006,0.005,0.003,0.009,0.103,0.008,0.003
QAc-W-0090,0,0.004,0.003,0.932,0.005,0.005,0.003,0.008,0.031,0.007,0.003
QAc-W-0091,0,0.007,0.009,0.895,0.006,0.016,0.009,0.004,0.044,0.004,0.007
QAc-W-0092,0,0.004,0.007,0.697,0.071,0.008,0.007,0.009,0.007,0.006,0.183
QAc-W-0093,0,0.006,0.017,0.659,0.029,0.061,0.031,0.112,0.078,0.002,0.005
QAc-W-0094,0,0.016,0.008,0.794,0.025,0.021,0.009,0.02,0.006,0.003,0.098
QAc-W-0095,0,0.013,0.007,0.798,0.012,0.01,0.005,0.014,0.105,0.003,0.032
QAc-W-0096,0,0.043,0.013,0.812,0.014,0.02,0.012,0.013,0.008,0.006,0.058
QAc-W-0097,0,0.007,0.066,0.677,0.137,0.037,0.006,0.024,0.033,0.006,0.007
QAc-W-0098,0,0.003,0.014,0.692,0.006,0.01,0.004,0.007,0.254,0.004,0.005
QAc-W-0099,0,0.005,0.012,0.884,0.012,0.02,0.03,0.022,0.004,0.003,0.006
QAc-W-0100,0,0.003,0.004,0.955,0.004,0.006,0.005,0.003,0.013,0.004,0.003
QAc-W-0101,0,0.008,0.003,0.934,0.006,0.005,0.006,0.003,0.014,0.018,0.002
QAc-W-0104,0,0.005,0.014,0.914,0.006,0.009,0.014,0.005,0.027,0.003,0.003
QAc-W-0105,0,0.004,0.002,0.958,0.005,0.003,0.003,0.006,0.008,0.004,0.006
QAc-W-0106,0,0.003,0.003,0.941,0.008,0.008,0.005,0.008,0.005,0.005,0.014
QAc-W-0107,0,0.005,0.003,0.006,0.003,0.003,0.003,0.003,0.968,0.003,0.003
QAc-W-0108,0,0.004,0.002,0.003,0.003,0.002,0.003,0.003,0.976,0.003,0.002
QAc-W-0109,0,0.007,0.019,0.803,0.007,0.009,0.004,0.013,0.108,0.023,0.006
QAc-W-0110,-13,0.005,0.006,0.243,0.697,0.013,0.015,0.005,0.007,0.006,0.003
QAc-W-0111,-6,0.003,0.007,0.377,0.009,0.013,0.004,0.017,0.557,0.006,0.007
QAc-W-0112,-13,0.004,0.008,0.902,0.01,0.013,0.014,0.007,0.031,0.004,0.007
QAc-W-0113,-13,0.004,0.005,0.006,0.009,0.008,0.947,0.009,0.004,0.003,0.003
QAc-W-0114,-13,0.004,0.018,0.007,0.007,0.008,0.917,0.004,0.024,0.004,0.007
QAc-W-0115,0,0.007,0.003,0.006,0.01,0.005,0.95,0.006,0.004,0.005,0.004
QAc-W-0116,0,0.003,0.013,0.004,0.012,0.011,0.917,0.02,0.005,0.002,0.012
QAc-W-0117,0,0.004,0.008,0.003,0.006,0.006,0.958,0.006,0.003,0.004,0.003
QAc-W-0118,0,0.03,0.005,0.012,0.006,0.008,0.898,0.004,0.016,0.018,0.004
QAc-W-0119,0,0.003,0.004,0.003,0.006,0.009,0.949,0.008,0.005,0.009,0.006
QAc-W-0120,0,0.012,0.007,0.008,0.006,0.016,0.914,0.02,0.004,0.011,0.003
QAc-W-0121,0,0.01,0.008,0.003,0.006,0.011,0.907,0.01,0.004,0.04,0.003
QAc-W-0122,0,0.007,0.02,0.004,0.011,0.012,0.923,0.01,0.006,0.003,0.004
QAc-W-0123,-6,0.012,0.015,0.017,0.01,0.028,0.879,0.008,0.01,0.01,0.011
QAc-W-0124,0,0.16,0.004,0.085,0.065,0.016,0.623,0.016,0.008,0.013,0.01
QAc-W-0125,0,0.006,0.006,0.013,0.008,0.006,0.932,0.003,0.01,0.007,0.008
QAc-W-0126,-13,0.008,0.011,0.027,0.008,0.025,0.889,0.007,0.008,0.006,0.01
QAc-W-0127,-6,0.006,0.005,0.003,0.006,0.008,0.956,0.005,0.003,0.004,0.004
QAc-W-0128,-13,0.006,0.011,0.027,0.013,0.011,0.885,0.007,0.025,0.013,0.003
QAc-W-0129,-13,0.014,0.018,0.005,0.033,0.023,0.855,0.037,0.005,0.006,0.004
QAc-W-0130,-13,0.004,0.008,0.008,0.015,0.008,0.918,0.025,0.006,0.006,0.002
QAc-W-0131,0,0.01,0.004,0.004,0.005,0.061,0.856,0.005,0.009,0.005,0.041
QAc-W-0132,-6,0.022,0.005,0.017,0.017,0.01,0.829,0.023,0.01,0.05,0.018
QAc-W-0133,-6,0.015,0.007,0.055,0.006,0.403,0.399,0.007,0.009,0.094,0.006
QAc-W-0134,0,0.006,0.005,0.004,0.005,0.004,0.963,0.003,0.004,0.004,0.004
QAc-W-0135,0,0.016,0.006,0.005,0.092,0.006,0.843,0.01,0.007,0.012,0.003
QAc-W-0136,0,0.003,0.003,0.004,0.005,0.004,0.964,0.004,0.002,0.003,0.009
QAc-W-0137,0,0.004,0.003,0.002,0.003,0.004,0.97,0.004,0.002,0.003,0.004
QAc-W-0138,0,0.004,0.003,0.002,0.005,0.003,0.968,0.005,0.002,0.003,0.004
QAc-W-0139,0,0.208,0.005,0.017,0.024,0.022,0.657,0.017,0.037,0.006,0.008
QAc-W-0140,0,0.004,0.059,0.005,0.029,0.015,0.858,0.019,0.004,0.005,0.003
QAc-W-0141,-6,0.009,0.023,0.005,0.039,0.036,0.806,0.056,0.005,0.017,0.004
QAc-W-0142,0,0.008,0.005,0.003,0.004,0.005,0.961,0.004,0.004,0.005,0.002
QAc-W-0143,0,0.005,0.009,0.012,0.004,0.01,0.944,0.007,0.003,0.002,0.003
QAc-W-0144,0,0.005,0.128,0.006,0.007,0.02,0.814,0.007,0.004,0.003,0.006
QAc-W-0145,0,0.004,0.004,0.003,0.004,0.01,0.964,0.003,0.002,0.003,0.003
QAc-W-0146,0,0.004,0.003,0.005,0.012,0.005,0.941,0.017,0.004,0.004,0.004
QAc-W-0147,0,0.007,0.003,0.004,0.004,0.004,0.966,0.004,0.004,0.003,0.003
QAc-W-0148,0,0.006,0.003,0.003,0.007,0.004,0.96,0.005,0.003,0.003,0.007
QAc-W-0149,0,0.005,0.037,0.014,0.006,0.013,0.895,0.012,0.004,0.003,0.011
QAc-W-0150,0,0.005,0.006,0.011,0.047,0.011,0.847,0.035,0.022,0.007,0.009
QAc-W-0151,0,0.005,0.005,0.004,0.023,0.008,0.933,0.005,0.007,0.005,0.006
QAc-W-0152,0,0.009,0.005,0.004,0.006,0.004,0.958,0.004,0.003,0.004,0.003
QAc-W-0153,0,0.026,0.012,0.011,0.018,0.768,0.033,0.068,0.054,0.005,0.004
QAc-W-0154,0,0.004,0.006,0.005,0.019,0.036,0.896,0.026,0.002,0.003,0.003
QAc-W-0155,0,0.005,0.004,0.003,0.006,0.004,0.966,0.004,0.003,0.003,0.003
QAc-W-0156,0,0.004,0.004,0.034,0.047,0.011,0.792,0.022,0.073,0.004,0.01
QAc-W-0157,0,0.016,0.013,0.004,0.013,0.072,0.836,0.009,0.003,0.01,0.026
QAc-W-0158,0,0.007,0.003,0.035,0.029,0.007,0.852,0.031,0.013,0.019,0.004
QAc-W-0159,0,0.003,0.005,0.005,0.006,0.009,0.948,0.005,0.006,0.006,0.007
QAc-W-0160,0,0.007,0.003,0.005,0.013,0.01,0.924,0.026,0.004,0.003,0.005
QAc-W-0161,0,0.003,0.008,0.004,0.032,0.016,0.812,0.022,0.004,0.004,0.095
QAc-W-0162,0,0.161,0.015,0.004,0.003,0.008,0.785,0.004,0.002,0.005,0.014
QAc-W-0163,0,0.005,0.017,0.004,0.006,0.016,0.934,0.005,0.003,0.004,0.005
QAc-W-0164,0,0.013,0.004,0.004,0.005,0.008,0.948,0.003,0.004,0.005,0.006
QAc-W-0165,0,0.011,0.005,0.003,0.004,0.04,0.886,0.011,0.002,0.029,0.01
QAc-W-0166,0,0.005,0.004,0.004,0.041,0.01,0.919,0.004,0.003,0.004,0.005
