Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9
QAc-G-0172,TMA,13,0.019,0.011,0.019,0.014,0.839,0.027,0.058,0.004
QAc-G-0173,TMA,13,0.468,0.002,0.508,0.003,0.003,0.003,0.003,0.004
QAc-G-0174,TMA,13,0.022,0.003,0.948,0.004,0.004,0.005,0.004,0.005
QAc-G-0175,TMA,13,0.974,0.002,0.006,0.003,0.002,0.003,0.003,0.003
QAc-G-0176,TMA,13,0.796,0.004,0.006,0.004,0.004,0.017,0.013,0.15
QAc-G-0177,TMA,13,0.974,0.003,0.005,0.003,0.002,0.003,0.003,0.003
QAc-G-0178,TMA,13,0.697,0.014,0.013,0.235,0.004,0.005,0.02,0.003
QAc-G-0179,TMA,13,0.975,0.002,0.006,0.002,0.003,0.003,0.003,0.004
QAc-G-0180,TMA,13,0.978,0.002,0.003,0.003,0.003,0.003,0.003,0.003
QAc-G-0181,TMA,13,0.952,0.003,0.003,0.005,0.004,0.023,0.004,0.004
QAc-G-0182,TMA,13,0.436,0.005,0.53,0.005,0.006,0.004,0.007,0.005
QAc-G-0183,TMA,13,0.942,0.004,0.014,0.005,0.008,0.004,0.014,0.003
QAc-G-0184,TMA,13,0.976,0.003,0.004,0.003,0.003,0.003,0.003,0.003
QAc-G-0185,TMA,13,0.742,0.039,0.057,0.112,0.009,0.009,0.016,0.011
QAc-G-0186,TMA,13,0.954,0.002,0.005,0.006,0.004,0.018,0.003,0.006
QAc-G-0187,TMA,13,0.778,0.005,0.005,0.106,0.005,0.023,0.023,0.015
QAc-G-0188,TMA,13,0.198,0.004,0.011,0.007,0.428,0.04,0.294,0.014
QAc-G-0189,TMA,13,0.919,0.002,0.045,0.006,0.005,0.003,0.005,0.003
QAc-G-0190,TMA,13,0.971,0.004,0.004,0.004,0.003,0.004,0.003,0.004
QAc-G-0191,TMA,13,0.971,0.004,0.005,0.003,0.003,0.004,0.003,0.004
QAc-G-0192,TMA,13,0.98,0.002,0.003,0.002,0.002,0.002,0.002,0.002
QAc-G-0193,TMA,13,0.972,0.004,0.003,0.003,0.003,0.004,0.003,0.004
QAc-G-0194,TMA,13,0.966,0.004,0.004,0.005,0.003,0.006,0.004,0.005
QAc-G-0195,TMA,13,0.063,0.003,0.887,0.004,0.004,0.01,0.005,0.007
QAc-G-0196,TMA,13,0.654,0.002,0.319,0.004,0.002,0.004,0.004,0.004
QAc-G-0197,TMA,13,0.978,0.002,0.004,0.002,0.002,0.003,0.003,0.003
QAc-G-0198,TMA,13,0.973,0.003,0.005,0.003,0.003,0.004,0.003,0.004
QAc-G-0199,TMA,13,0.687,0.016,0.129,0.111,0.005,0.007,0.022,0.018
QAc-G-0200,TMA,13,0.958,0.002,0.006,0.006,0.003,0.007,0.005,0.01
QAc-G-0201,TMA,13,0.438,0.002,0.531,0.004,0.002,0.005,0.01,0.004
QAc-G-0202,TMA,13,0.525,0.003,0.435,0.003,0.005,0.004,0.004,0.004
QAc-G-0203,TMA,13,0.954,0.002,0.003,0.002,0.006,0.004,0.01,0.005
QAc-G-0204,TMA,13,0.968,0.003,0.006,0.003,0.003,0.004,0.004,0.005
QAc-G-0205,TMA,13,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002
