Ind,Pop,C1,C2
ZFSW123,Suwannee 1,0.014,0.986
ZFSW124,Suwannee 1,0.016,0.984
,,,
ZFSW201,Suwannee 2,0.013,0.987
ZFSW202,Suwannee 2,0.016,0.984
ZFSW203,Suwannee 2,0.014,0.986
ZFSW204,Suwannee 2,0.016,0.984
ZFSW205,Suwannee 2,0.02,0.98
ZFSW206,Suwannee 2,0.018,0.982
ZFSW207,Suwannee 2,0.044,0.956
ZFSW208,Suwannee 2,0.021,0.979
ZFSW209,Suwannee 2,0.017,0.983
ZFSW210,Suwannee 2,0.084,0.916
ZFSW211,Suwannee 2,0.028,0.972
ZFSW212,Suwannee 2,0.024,0.976
ZFSW213,Suwannee 2,0.022,0.978
ZFSW214,Suwannee 2,0.026,0.974
ZFSW215,Suwannee 2,0.019,0.981
ZFSW216,Suwannee 2,0.025,0.975
ZFSW217,Suwannee 2,0.019,0.981
ZFSW218,Suwannee 2,0.024,0.976
ZFSW219,Suwannee 2,0.024,0.976
ZFSW220,Suwannee 2,0.017,0.983
ZFSW221,Suwannee 2,0.025,0.975
ZFSW222,Suwannee 2,0.013,0.987
ZFSW223,Suwannee 2,0.016,0.984
ZFSW224,Suwannee 2,0.024,0.976
ZFSW225,Suwannee 2,0.02,0.98
ZFSW226,Suwannee 2,0.023,0.977
ZFSW227,Suwannee 2,0.018,0.982
ZFSW229,Suwannee 2,0.018,0.982
ZFSW230,Suwannee 2,0.036,0.964
ZFSW231,Suwannee 2,0.018,0.982
ZFSW232,Suwannee 2,0.018,0.982
ZFSW233,Suwannee 2,0.022,0.978
ZFSW234,Suwannee 2,0.015,0.985
ZFSW235,Suwannee 2,0.023,0.977
ZFSW236,Suwannee 2,0.021,0.979
ZFSW237,Suwannee 2,0.019,0.981
ZFSW238,Suwannee 2,0.021,0.979
ZFSW239,Suwannee 2,0.023,0.977
ZFSW240,Suwannee 2,0.013,0.987
,,,
ZFTS01,Tide Swamp,0.012,0.988
ZFTS02,Tide Swamp,0.02,0.98
ZFTS03,Tide Swamp,0.014,0.986
ZFTS04,Tide Swamp,0.011,0.989
ZFTS05,Tide Swamp,0.015,0.985
ZFTS07,Tide Swamp,0.011,0.989
ZFTS08,Tide Swamp,0.009,0.991
ZFTS09,Tide Swamp,0.008,0.992
ZFTS10,Tide Swamp,0.012,0.988
ZFTS11,Tide Swamp,0.011,0.989
ZFTS12,Tide Swamp,0.012,0.988
ZFTS14,Tide Swamp,0.014,0.986
ZFTS15,Tide Swamp,0.015,0.985
ZFTS16,Tide Swamp,0.017,0.983
ZFTS17,Tide Swamp,0.014,0.986
ZFTS18,Tide Swamp,0.01,0.99
ZFTS19,Tide Swamp,0.01,0.99
ZFTS20,Tide Swamp,0.011,0.989
ZFTS21,Tide Swamp,0.011,0.989
ZFTS22,Tide Swamp,0.01,0.99
ZFTS23,Tide Swamp,0.015,0.985
ZFTS24,Tide Swamp,0.01,0.99
ZFTS25,Tide Swamp,0.016,0.984
ZFTS26,Tide Swamp,0.01,0.99
ZFTS27,Tide Swamp,0.015,0.985
ZFTS28,Tide Swamp,0.028,0.972
ZFTS29,Tide Swamp,0.008,0.992
ZFTS30,Tide Swamp,0.01,0.99
ZFTS31,Tide Swamp,0.014,0.986
ZFTS32,Tide Swamp,0.012,0.988
ZFTS33,Tide Swamp,0.016,0.984
ZFTS34,Tide Swamp,0.017,0.983
ZFTS35,Tide Swamp,0.013,0.987
ZFTS36,Tide Swamp,0.013,0.987
ZFTS37,Tide Swamp,0.014,0.986
ZFTS38,Tide Swamp,0.012,0.988
ZFTS39,Tide Swamp,0.013,0.987
ZFTS40,Tide Swamp,0.031,0.969
,,,
ZFW01,Waccassassa,0.025,0.975
ZFW02,Waccassassa,0.023,0.977
ZFW03,Waccassassa,0.03,0.97
ZFW04,Waccassassa,0.014,0.986
ZFW05,Waccassassa,0.023,0.977
ZFW06,Waccassassa,0.013,0.987
,,,
ZFWB01,Werner-Boyce,0.311,0.689
ZFWB02,Werner-Boyce,0.035,0.965
ZFWB03,Werner-Boyce,0.146,0.854
ZFWB05,Werner-Boyce,0.149,0.851
ZFWB06,Werner-Boyce,0.18,0.82
ZFWB07,Werner-Boyce,0.116,0.884
ZFWB10,Werner-Boyce,0.235,0.765
ZFWB11,Werner-Boyce,0.102,0.898
ZFWB12,Werner-Boyce,0.286,0.714
ZFWB13,Werner-Boyce,0.433,0.567
ZFWB14,Werner-Boyce,0.372,0.628
ZFWB15,Werner-Boyce,0.122,0.878
ZFWB18,Werner-Boyce,0.344,0.656
ZFWB19,Werner-Boyce,0.036,0.964
ZFWB20,Werner-Boyce,0.102,0.898
ZFWB21,Werner-Boyce,0.12,0.88
ZFWB22,Werner-Boyce,0.194,0.806
ZFWB23,Werner-Boyce,0.728,0.272
ZFWB24,Werner-Boyce,0.406,0.594
ZFWB25,Werner-Boyce,0.102,0.898
ZFWB26,Werner-Boyce,0.05,0.95
ZFWB27,Werner-Boyce,0.073,0.927
ZFWB29,Werner-Boyce,0.057,0.943
ZFWB30,Werner-Boyce,0.155,0.845
ZFWB31,Werner-Boyce,0.366,0.634
ZFWB32,Werner-Boyce,0.047,0.953
ZFWB35,Werner-Boyce,0.18,0.82
ZFWB36,Werner-Boyce,0.061,0.939
ZFWB37,Werner-Boyce,0.117,0.883
ZFWB38,Werner-Boyce,0.068,0.932
ZFWB39,Werner-Boyce,0.252,0.748
ZFWB40,Werner-Boyce,0.22,0.78
ZFWB41,Werner-Boyce,0.177,0.823
ZFWB42,Werner-Boyce,0.263,0.737
ZFWB43,Werner-Boyce,0.075,0.925
ZFWB44,Werner-Boyce,0.02,0.98
ZFWB46,Werner-Boyce,0.085,0.915
ZFWB47,Werner-Boyce,0.07,0.93
ZFWB48,Werner-Boyce,0.372,0.628
ZFWB49,Werner-Boyce,0.578,0.422
