Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFENP45,Everglades,0.109,0.013,0.013,0.018,0.02,0.008,0.007,0.029,0.093,0.023,0.014,0.006,0.013,0.012,0.011,0.106,0.013,0.018,0.157,0.028,0.005,0.027,0.012,0.239,0.007
ZFENP46,Everglades,0.141,0.002,0.029,0.008,0.011,0.006,0.025,0.016,0.013,0.005,0.003,0.006,0.01,0.011,0.012,0.559,0.009,0.007,0.051,0.02,0.007,0.014,0.02,0.004,0.011
ZFENP47,Everglades,0.004,0.013,0.004,0.012,0.023,0.031,0.004,0.007,0.146,0.009,0.068,0.003,0.01,0.004,0.003,0.363,0.014,0.008,0.024,0.005,0.111,0.008,0.008,0.109,0.009
ZFENP48,Everglades,0.032,0.021,0.354,0.194,0.014,0.012,0.006,0.009,0.01,0.011,0.009,0.006,0.015,0.005,0.004,0.114,0.026,0.014,0.047,0.016,0.039,0.009,0.004,0.008,0.022
ZFENP49,Everglades,0.045,0.006,0.003,0.111,0.156,0.02,0.008,0.012,0.004,0.012,0.01,0.005,0.01,0.005,0.006,0.449,0.016,0.01,0.028,0.007,0.025,0.011,0.021,0.012,0.01
ZFENP50,Everglades,0.234,0.004,0.008,0.006,0.031,0.011,0.004,0.035,0.072,0.011,0.004,0.004,0.011,0.014,0.012,0.171,0.034,0.037,0.209,0.028,0.005,0.039,0.005,0.004,0.005
ZFENP51,Everglades,0.045,0.006,0.01,0.036,0.025,0.023,0.005,0.004,0.04,0.004,0.01,0.006,0.003,0.004,0.005,0.175,0.401,0.003,0.096,0.011,0.011,0.004,0.003,0.047,0.023
ZFENP52,Everglades,0.034,0.006,0.005,0.005,0.008,0.002,0.013,0.006,0.006,0.004,0.01,0.009,0.005,0.008,0.014,0.028,0.005,0.004,0.797,0.01,0.003,0.005,0.004,0.004,0.003
ZFENP53,Everglades,0.055,0.006,0.012,0.006,0.018,0.006,0.009,0.033,0.031,0.023,0.009,0.006,0.032,0.013,0.013,0.171,0.009,0.015,0.437,0.022,0.008,0.031,0.011,0.017,0.007
ZFENP54,Everglades,0.024,0.018,0.008,0.024,0.506,0.029,0.008,0.026,0.009,0.013,0.013,0.005,0.015,0.007,0.007,0.095,0.008,0.032,0.076,0.027,0.009,0.026,0.005,0.005,0.004
ZFENP55,Everglades,0.231,0.003,0.017,0.009,0.03,0.057,0.005,0.006,0.007,0.006,0.004,0.004,0.005,0.004,0.004,0.284,0.02,0.006,0.043,0.212,0.016,0.006,0.004,0.004,0.013
ZFENP56,Everglades,0.247,0.005,0.007,0.009,0.008,0.012,0.016,0.004,0.007,0.003,0.008,0.008,0.004,0.004,0.008,0.472,0.025,0.004,0.088,0.022,0.008,0.004,0.004,0.005,0.017
ZFENP57,Everglades,0.111,0.005,0.03,0.016,0.037,0.008,0.005,0.006,0.097,0.003,0.005,0.012,0.005,0.013,0.009,0.271,0.021,0.006,0.262,0.019,0.01,0.005,0.004,0.002,0.039
ZFENP58,Everglades,0.014,0.022,0.004,0.249,0.08,0.007,0.006,0.007,0.005,0.006,0.01,0.013,0.019,0.03,0.01,0.177,0.014,0.016,0.111,0.028,0.008,0.006,0.003,0.097,0.055
ZFENP59,Everglades,0.019,0.038,0.006,0.041,0.032,0.013,0.006,0.005,0.059,0.005,0.06,0.005,0.005,0.004,0.004,0.507,0.008,0.005,0.13,0.007,0.013,0.005,0.004,0.004,0.016
ZFENP60,Everglades,0.125,0.009,0.028,0.006,0.049,0.027,0.007,0.009,0.012,0.007,0.008,0.006,0.01,0.018,0.005,0.507,0.009,0.008,0.079,0.01,0.009,0.008,0.013,0.014,0.018
ZFENP61,Everglades,0.009,0.006,0.008,0.005,0.013,0.006,0.003,0.003,0.004,0.003,0.011,0.004,0.003,0.003,0.003,0.865,0.005,0.003,0.006,0.006,0.015,0.003,0.004,0.003,0.008
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI01,Ichetucknee,0.006,0.01,0.009,0.012,0.007,0.006,0.003,0.003,0.009,0.003,0.003,0.004,0.005,0.005,0.003,0.009,0.082,0.006,0.006,0.006,0.014,0.003,0.003,0.004,0.778
ZFI02,Ichetucknee,0.004,0.003,0.017,0.003,0.015,0.054,0.003,0.005,0.004,0.004,0.003,0.006,0.005,0.009,0.003,0.004,0.044,0.005,0.006,0.008,0.027,0.004,0.007,0.004,0.752
ZFI03,Ichetucknee,0.004,0.004,0.012,0.004,0.004,0.006,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.003,0.002,0.004,0.007,0.003,0.003,0.004,0.007,0.003,0.003,0.002,0.905
ZFI04,Ichetucknee,0.005,0.005,0.276,0.004,0.004,0.013,0.004,0.003,0.004,0.003,0.004,0.005,0.003,0.004,0.003,0.005,0.088,0.003,0.006,0.005,0.01,0.003,0.004,0.003,0.534
ZFI05,Ichetucknee,0.004,0.003,0.004,0.005,0.004,0.009,0.003,0.005,0.003,0.004,0.003,0.006,0.004,0.005,0.003,0.005,0.005,0.004,0.004,0.003,0.005,0.004,0.005,0.003,0.898
ZFI06,Ichetucknee,0.008,0.002,0.007,0.004,0.007,0.006,0.007,0.017,0.003,0.004,0.005,0.017,0.01,0.024,0.012,0.012,0.018,0.007,0.01,0.004,0.019,0.015,0.015,0.003,0.764
ZFI07,Ichetucknee,0.005,0.004,0.056,0.004,0.003,0.017,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.004,0.003,0.007,0.007,0.003,0.004,0.004,0.013,0.003,0.003,0.002,0.834
ZFI08,Ichetucknee,0.006,0.006,0.087,0.005,0.026,0.072,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.002,0.009,0.033,0.003,0.009,0.012,0.023,0.003,0.003,0.003,0.672
ZFI09,Ichetucknee,0.004,0.003,0.005,0.004,0.004,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.005,0.022,0.003,0.005,0.003,0.015,0.003,0.003,0.002,0.887
ZFI10,Ichetucknee,0.005,0.003,0.019,0.003,0.004,0.022,0.003,0.005,0.005,0.005,0.003,0.02,0.004,0.012,0.004,0.005,0.016,0.005,0.006,0.005,0.005,0.005,0.005,0.004,0.827
ZFI11,Ichetucknee,0.004,0.004,0.015,0.005,0.004,0.009,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.004,0.003,0.005,0.057,0.003,0.004,0.004,0.016,0.003,0.003,0.002,0.835
ZFI12,Ichetucknee,0.005,0.005,0.024,0.004,0.003,0.005,0.004,0.003,0.002,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.005,0.003,0.004,0.005,0.004,0.003,0.003,0.002,0.891
ZFI13,Ichetucknee,0.006,0.007,0.007,0.019,0.006,0.008,0.003,0.003,0.011,0.002,0.003,0.004,0.005,0.005,0.003,0.012,0.008,0.005,0.005,0.006,0.013,0.003,0.003,0.003,0.853
ZFI14,Ichetucknee,0.003,0.003,0.005,0.003,0.005,0.02,0.005,0.015,0.007,0.005,0.005,0.004,0.011,0.016,0.006,0.005,0.004,0.011,0.003,0.003,0.01,0.015,0.018,0.003,0.814
ZFI15,Ichetucknee,0.003,0.003,0.005,0.004,0.006,0.023,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.005,0.005,0.003,0.004,0.003,0.01,0.004,0.004,0.002,0.886
ZFI16,Ichetucknee,0.003,0.003,0.006,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.004,0.003,0.002,0.003,0.003,0.005,0.003,0.003,0.002,0.927
ZFI17,Ichetucknee,0.005,0.003,0.015,0.004,0.003,0.009,0.003,0.003,0.006,0.003,0.003,0.004,0.003,0.004,0.003,0.006,0.008,0.003,0.005,0.004,0.006,0.003,0.003,0.002,0.891
ZFI18,Ichetucknee,0.005,0.002,0.006,0.004,0.004,0.012,0.003,0.003,0.008,0.002,0.003,0.003,0.002,0.003,0.002,0.009,0.007,0.002,0.005,0.003,0.007,0.002,0.002,0.002,0.899
ZFI19,Ichetucknee,0.004,0.003,0.007,0.006,0.007,0.099,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.003,0.005,0.007,0.003,0.004,0.007,0.024,0.003,0.003,0.002,0.79
ZFI20,Ichetucknee,0.003,0.003,0.006,0.003,0.011,0.032,0.006,0.008,0.008,0.003,0.004,0.003,0.007,0.009,0.006,0.004,0.004,0.007,0.004,0.006,0.009,0.007,0.01,0.002,0.835
ZFI21,Ichetucknee,0.005,0.003,0.004,0.003,0.008,0.151,0.006,0.012,0.004,0.003,0.003,0.004,0.013,0.027,0.008,0.003,0.003,0.012,0.003,0.009,0.006,0.014,0.015,0.003,0.679
ZFI22,Ichetucknee,0.007,0.009,0.021,0.004,0.01,0.425,0.005,0.005,0.003,0.006,0.009,0.005,0.005,0.006,0.003,0.007,0.06,0.005,0.007,0.008,0.172,0.006,0.008,0.004,0.201
ZFI23,Ichetucknee,0.003,0.003,0.011,0.003,0.003,0.006,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.002,0.004,0.004,0.003,0.003,0.003,0.005,0.003,0.003,0.002,0.913
ZFI24,Ichetucknee,0.005,0.005,0.013,0.005,0.004,0.005,0.003,0.003,0.002,0.003,0.004,0.004,0.003,0.004,0.003,0.004,0.005,0.003,0.004,0.004,0.006,0.003,0.003,0.003,0.899
ZFI25,Ichetucknee,0.005,0.007,0.078,0.004,0.01,0.074,0.004,0.004,0.002,0.005,0.007,0.005,0.004,0.004,0.003,0.006,0.01,0.005,0.007,0.004,0.012,0.005,0.006,0.003,0.725
ZFI26,Ichetucknee,0.004,0.005,0.015,0.005,0.004,0.006,0.003,0.003,0.002,0.003,0.005,0.003,0.003,0.003,0.003,0.005,0.005,0.003,0.004,0.004,0.008,0.003,0.003,0.002,0.898
ZFI27,Ichetucknee,0.005,0.003,0.007,0.006,0.003,0.004,0.004,0.004,0.002,0.003,0.003,0.007,0.003,0.005,0.003,0.004,0.004,0.003,0.004,0.005,0.005,0.003,0.003,0.002,0.906
ZFK01,Ichetucknee,0.003,0.006,0.003,0.916,0.003,0.002,0.004,0.004,0.003,0.003,0.005,0.006,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFK02,Koreshan,0.004,0.005,0.003,0.914,0.003,0.003,0.004,0.004,0.003,0.003,0.005,0.006,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003
ZFK03,Koreshan,0.003,0.005,0.003,0.92,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.005,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004
ZFK04,Koreshan,0.003,0.004,0.003,0.922,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.005,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004
ZFK05,Koreshan,0.003,0.012,0.011,0.88,0.004,0.007,0.003,0.003,0.007,0.003,0.008,0.004,0.003,0.002,0.002,0.007,0.012,0.003,0.005,0.003,0.006,0.003,0.002,0.002,0.006
ZFK06,Koreshan,0.005,0.011,0.009,0.864,0.004,0.008,0.003,0.003,0.005,0.003,0.011,0.004,0.004,0.003,0.003,0.013,0.007,0.003,0.005,0.004,0.008,0.004,0.003,0.003,0.01
ZFK07,Koreshan,0.004,0.006,0.002,0.911,0.003,0.002,0.006,0.004,0.004,0.003,0.004,0.004,0.005,0.004,0.004,0.003,0.003,0.004,0.003,0.005,0.002,0.004,0.003,0.005,0.002
ZFK08,Koreshan,0.005,0.004,0.004,0.911,0.003,0.003,0.004,0.004,0.003,0.002,0.004,0.002,0.004,0.003,0.003,0.004,0.005,0.004,0.004,0.006,0.004,0.003,0.003,0.003,0.004
ZFK10,Koreshan,0.003,0.005,0.003,0.919,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.005,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.005
ZFK11,Koreshan,0.004,0.011,0.009,0.877,0.004,0.006,0.003,0.004,0.008,0.003,0.01,0.004,0.004,0.003,0.003,0.007,0.008,0.003,0.005,0.004,0.006,0.003,0.003,0.002,0.006
ZFK12,Koreshan,0.009,0.007,0.002,0.874,0.004,0.002,0.007,0.005,0.003,0.004,0.006,0.004,0.011,0.006,0.007,0.004,0.003,0.006,0.003,0.009,0.003,0.005,0.004,0.008,0.003
ZFK13,Koreshan,0.005,0.005,0.003,0.797,0.004,0.003,0.013,0.015,0.009,0.005,0.006,0.004,0.031,0.015,0.014,0.003,0.003,0.015,0.003,0.005,0.003,0.017,0.013,0.006,0.003
ZFK14,Koreshan,0.008,0.129,0.007,0.57,0.006,0.006,0.018,0.014,0.015,0.006,0.038,0.009,0.041,0.018,0.014,0.006,0.007,0.022,0.005,0.009,0.005,0.014,0.012,0.016,0.006
ZFK15,Koreshan,0.004,0.004,0.003,0.838,0.003,0.005,0.007,0.015,0.011,0.004,0.005,0.003,0.015,0.009,0.008,0.004,0.004,0.012,0.004,0.004,0.003,0.017,0.011,0.003,0.003
ZFK16,Koreshan,0.005,0.006,0.003,0.893,0.003,0.002,0.007,0.005,0.004,0.005,0.005,0.005,0.009,0.005,0.005,0.003,0.003,0.004,0.004,0.005,0.002,0.005,0.004,0.006,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFLB01,Broward,0.005,0.003,0.005,0.009,0.004,0.007,0.022,0.015,0.777,0.006,0.003,0.005,0.014,0.017,0.009,0.006,0.006,0.008,0.006,0.006,0.004,0.013,0.038,0.005,0.008
ZFLB02,Broward,0.028,0.003,0.055,0.003,0.009,0.01,0.005,0.003,0.743,0.002,0.002,0.003,0.003,0.006,0.003,0.065,0.004,0.003,0.023,0.005,0.003,0.003,0.006,0.003,0.006
ZFLB03,Broward,0.021,0.004,0.011,0.009,0.01,0.003,0.003,0.004,0.764,0.004,0.004,0.039,0.005,0.011,0.007,0.033,0.003,0.004,0.029,0.006,0.003,0.005,0.003,0.005,0.009
ZFLB04,Broward,0.004,0.008,0.009,0.01,0.004,0.008,0.009,0.009,0.564,0.006,0.004,0.123,0.015,0.097,0.009,0.004,0.007,0.009,0.008,0.005,0.004,0.01,0.01,0.005,0.056
ZFLB05,Broward,0.006,0.003,0.008,0.013,0.006,0.011,0.017,0.01,0.786,0.005,0.003,0.013,0.007,0.021,0.01,0.006,0.01,0.005,0.007,0.006,0.005,0.008,0.016,0.004,0.016
ZFLB06,Broward,0.005,0.006,0.005,0.051,0.006,0.005,0.008,0.011,0.777,0.012,0.006,0.005,0.013,0.005,0.007,0.008,0.011,0.008,0.01,0.008,0.006,0.011,0.006,0.006,0.005
ZFLB07,Broward,0.04,0.006,0.009,0.064,0.017,0.005,0.013,0.016,0.508,0.01,0.007,0.044,0.015,0.018,0.025,0.03,0.01,0.009,0.058,0.033,0.007,0.016,0.009,0.009,0.02
ZFLB08,Broward,0.025,0.004,0.058,0.007,0.007,0.012,0.007,0.005,0.726,0.003,0.003,0.006,0.004,0.008,0.004,0.033,0.007,0.003,0.036,0.007,0.004,0.005,0.008,0.004,0.014
ZFLB09,Broward,0.006,0.008,0.01,0.016,0.005,0.013,0.004,0.006,0.824,0.004,0.005,0.005,0.006,0.005,0.005,0.007,0.017,0.007,0.013,0.007,0.005,0.006,0.005,0.003,0.008
ZFLB10,Broward,0.004,0.004,0.005,0.007,0.004,0.006,0.003,0.004,0.881,0.003,0.003,0.007,0.004,0.007,0.005,0.005,0.009,0.004,0.007,0.004,0.004,0.004,0.003,0.003,0.009
ZFLB11,Broward,0.006,0.009,0.004,0.013,0.005,0.004,0.004,0.005,0.87,0.005,0.006,0.004,0.006,0.005,0.006,0.004,0.006,0.004,0.007,0.008,0.003,0.005,0.003,0.005,0.004
ZFLB12,Broward,0.005,0.006,0.007,0.009,0.004,0.005,0.003,0.004,0.885,0.003,0.004,0.004,0.004,0.003,0.003,0.007,0.007,0.004,0.008,0.004,0.003,0.004,0.003,0.002,0.006
ZFLB13,Broward,0.021,0.008,0.016,0.011,0.011,0.005,0.011,0.011,0.719,0.003,0.01,0.01,0.011,0.015,0.018,0.023,0.008,0.01,0.031,0.015,0.005,0.011,0.009,0.004,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFOS01,Oscar Scherer,0.006,0.061,0.005,0.006,0.007,0.003,0.03,0.017,0.003,0.005,0.713,0.004,0.028,0.014,0.019,0.003,0.003,0.014,0.003,0.008,0.005,0.017,0.015,0.007,0.003
ZFOS02,Oscar Scherer,0.006,0.057,0.056,0.007,0.012,0.008,0.055,0.017,0.004,0.061,0.583,0.007,0.033,0.008,0.007,0.007,0.006,0.009,0.005,0.006,0.01,0.014,0.01,0.008,0.005
ZFOS03,Oscar Scherer,0.009,0.496,0.005,0.007,0.011,0.01,0.013,0.015,0.128,0.005,0.128,0.003,0.032,0.024,0.011,0.009,0.01,0.009,0.006,0.008,0.022,0.014,0.01,0.004,0.012
ZFOS04,Oscar Scherer,0.005,0.015,0.005,0.008,0.005,0.008,0.014,0.038,0.005,0.006,0.666,0.008,0.057,0.024,0.016,0.008,0.003,0.011,0.005,0.005,0.013,0.036,0.024,0.005,0.011
ZFOS05,Oscar Scherer,0.006,0.048,0.007,0.008,0.008,0.004,0.015,0.021,0.002,0.011,0.731,0.006,0.019,0.009,0.011,0.004,0.004,0.015,0.004,0.007,0.008,0.02,0.017,0.009,0.004
ZFOS06,Oscar Scherer,0.02,0.429,0.006,0.006,0.006,0.005,0.008,0.015,0.006,0.011,0.337,0.02,0.012,0.013,0.014,0.008,0.005,0.013,0.006,0.011,0.005,0.015,0.011,0.012,0.005
ZFOS07,Oscar Scherer,0.005,0.186,0.006,0.09,0.01,0.011,0.012,0.007,0.004,0.007,0.431,0.007,0.012,0.006,0.004,0.009,0.01,0.007,0.005,0.007,0.124,0.007,0.007,0.005,0.022
ZFOS08,Oscar Scherer,0.005,0.187,0.019,0.023,0.006,0.016,0.034,0.012,0.003,0.057,0.48,0.012,0.024,0.009,0.007,0.012,0.004,0.004,0.005,0.004,0.024,0.01,0.007,0.005,0.032
ZFOS09,Oscar Scherer,0.011,0.018,0.004,0.003,0.012,0.006,0.01,0.03,0.01,0.005,0.709,0.003,0.029,0.023,0.02,0.008,0.004,0.017,0.004,0.008,0.012,0.024,0.021,0.006,0.005
ZFOS10,Oscar Scherer,0.003,0.012,0.007,0.005,0.006,0.009,0.004,0.003,0.005,0.003,0.886,0.005,0.003,0.002,0.003,0.008,0.006,0.002,0.004,0.003,0.008,0.003,0.003,0.002,0.005
ZFOS11,Oscar Scherer,0.007,0.039,0.004,0.039,0.057,0.005,0.131,0.023,0.004,0.005,0.329,0.056,0.027,0.032,0.085,0.068,0.007,0.009,0.005,0.008,0.013,0.021,0.014,0.007,0.004
ZFOS12,Oscar Scherer,0.063,0.035,0.007,0.234,0.03,0.021,0.012,0.032,0.016,0.013,0.208,0.027,0.014,0.017,0.025,0.021,0.017,0.011,0.033,0.045,0.058,0.036,0.009,0.005,0.01
ZFOS13,Oscar Scherer,0.016,0.059,0.006,0.009,0.008,0.004,0.023,0.015,0.004,0.007,0.672,0.008,0.012,0.009,0.009,0.009,0.007,0.011,0.006,0.015,0.053,0.011,0.011,0.005,0.012
ZFOS14,Oscar Scherer,0.009,0.048,0.007,0.019,0.022,0.143,0.064,0.017,0.007,0.005,0.422,0.037,0.024,0.022,0.033,0.008,0.015,0.01,0.006,0.039,0.006,0.016,0.009,0.008,0.006
ZFOS15,Oscar Scherer,0.004,0.026,0.004,0.022,0.004,0.005,0.005,0.003,0.003,0.003,0.867,0.005,0.003,0.003,0.003,0.006,0.003,0.003,0.004,0.003,0.006,0.003,0.004,0.002,0.006
ZFOS16,Oscar Scherer,0.004,0.016,0.004,0.007,0.008,0.006,0.016,0.023,0.004,0.007,0.746,0.008,0.018,0.009,0.012,0.006,0.006,0.012,0.003,0.004,0.01,0.021,0.038,0.007,0.004
ZFOS17,Oscar Scherer,0.008,0.157,0.011,0.006,0.006,0.007,0.006,0.004,0.006,0.004,0.697,0.007,0.007,0.007,0.006,0.006,0.009,0.006,0.005,0.009,0.006,0.005,0.003,0.005,0.007
ZFOS18,Oscar Scherer,0.004,0.01,0.006,0.007,0.004,0.004,0.005,0.004,0.005,0.003,0.892,0.006,0.003,0.003,0.004,0.006,0.003,0.003,0.005,0.003,0.004,0.004,0.004,0.002,0.003
ZFOS19,Oscar Scherer,0.01,0.257,0.004,0.006,0.005,0.004,0.004,0.004,0.004,0.003,0.634,0.004,0.004,0.004,0.005,0.006,0.004,0.004,0.005,0.009,0.005,0.003,0.003,0.004,0.005
ZFOS20,Oscar Scherer,0.004,0.023,0.004,0.005,0.005,0.006,0.004,0.004,0.003,0.005,0.875,0.005,0.005,0.004,0.003,0.005,0.003,0.004,0.003,0.003,0.006,0.005,0.005,0.006,0.005
ZFOS21,Oscar Scherer,0.003,0.103,0.005,0.01,0.006,0.008,0.021,0.021,0.004,0.004,0.667,0.008,0.017,0.01,0.012,0.004,0.01,0.015,0.004,0.004,0.008,0.021,0.028,0.005,0.005
ZFOS22,Oscar Scherer,0.012,0.193,0.003,0.013,0.006,0.003,0.013,0.008,0.007,0.007,0.636,0.007,0.007,0.006,0.011,0.006,0.005,0.009,0.007,0.014,0.005,0.008,0.006,0.008,0.003
ZFOS23,Oscar Scherer,0.007,0.064,0.004,0.005,0.016,0.201,0.003,0.003,0.008,0.002,0.611,0.005,0.002,0.003,0.004,0.014,0.007,0.003,0.007,0.01,0.009,0.003,0.002,0.002,0.005
ZFOS24,Oscar Scherer,0.004,0.06,0.003,0.01,0.004,0.003,0.006,0.003,0.003,0.003,0.848,0.008,0.003,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003
ZFOS25,Oscar Scherer,0.01,0.045,0.008,0.008,0.006,0.004,0.122,0.019,0.004,0.006,0.425,0.053,0.028,0.023,0.103,0.009,0.003,0.008,0.009,0.038,0.015,0.012,0.011,0.021,0.01
ZFOS26,Oscar Scherer,0.007,0.029,0.007,0.009,0.007,0.005,0.059,0.069,0.003,0.012,0.484,0.016,0.087,0.026,0.036,0.007,0.003,0.011,0.005,0.008,0.01,0.055,0.033,0.006,0.006
ZFOS27,Oscar Scherer,0.006,0.1,0.006,0.016,0.004,0.008,0.009,0.033,0.012,0.011,0.626,0.013,0.022,0.016,0.012,0.005,0.004,0.013,0.006,0.004,0.005,0.037,0.02,0.006,0.006
ZFOS28,Oscar Scherer,0.006,0.034,0.012,0.009,0.007,0.013,0.012,0.011,0.009,0.003,0.757,0.007,0.012,0.015,0.011,0.009,0.012,0.009,0.005,0.006,0.009,0.011,0.009,0.004,0.007
ZFOS29,Oscar Scherer,0.005,0.069,0.004,0.012,0.006,0.021,0.006,0.012,0.009,0.006,0.73,0.013,0.012,0.011,0.01,0.008,0.007,0.008,0.004,0.004,0.009,0.01,0.01,0.009,0.006
ZFOS30,Oscar Scherer,0.006,0.171,0.006,0.008,0.007,0.006,0.016,0.011,0.003,0.005,0.637,0.003,0.019,0.009,0.009,0.003,0.008,0.017,0.003,0.01,0.008,0.011,0.01,0.009,0.005
ZFOS31,Oscar Scherer,0.02,0.127,0.004,0.06,0.027,0.049,0.059,0.019,0.004,0.008,0.155,0.008,0.085,0.031,0.024,0.005,0.008,0.043,0.005,0.199,0.008,0.014,0.012,0.024,0.004
ZFOS32,Oscar Scherer,0.004,0.017,0.004,0.003,0.007,0.004,0.008,0.009,0.003,0.006,0.853,0.005,0.013,0.007,0.006,0.004,0.003,0.004,0.003,0.003,0.009,0.006,0.009,0.007,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFPB01,Palm Beach,0.003,0.003,0.004,0.004,0.003,0.004,0.002,0.002,0.925,0.002,0.003,0.003,0.002,0.002,0.003,0.005,0.005,0.002,0.005,0.003,0.003,0.002,0.002,0.002,0.003
ZFPB02,Palm Beach,0.003,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.924,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.002,0.003,0.003,0.006,0.002
ZFPB03,Palm Beach,0.002,0.004,0.003,0.006,0.003,0.004,0.002,0.004,0.914,0.004,0.004,0.007,0.004,0.004,0.003,0.003,0.004,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.005
ZFPB05,Palm Beach,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.943,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002
ZFPB06,Palm Beach,0.003,0.004,0.004,0.006,0.003,0.004,0.002,0.003,0.92,0.003,0.004,0.003,0.003,0.002,0.002,0.004,0.005,0.002,0.005,0.002,0.003,0.003,0.002,0.002,0.004
ZFPB07,Palm Beach,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.004,0.934,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.004,0.003,0.003,0.002
ZFPB08,Palm Beach,0.003,0.004,0.003,0.004,0.003,0.004,0.002,0.005,0.917,0.005,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.003,0.004,0.002,0.003,0.004,0.003,0.003,0.003
ZFPB10,Palm Beach,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.932,0.002,0.003,0.004,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.004
ZFPB11,Palm Beach,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.936,0.002,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
ZFPB12,Palm Beach,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.934,0.002,0.003,0.003,0.002,0.003,0.003,0.004,0.004,0.002,0.004,0.003,0.002,0.002,0.002,0.003,0.003
ZFPB13,Palm Beach,0.002,0.002,0.002,0.003,0.003,0.004,0.002,0.004,0.93,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.002
ZFPB14,Palm Beach,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.004,0.932,0.003,0.002,0.002,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.004,0.003,0.004,0.002
ZFPB15,Palm Beach,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.005,0.926,0.004,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.003,0.003,0.002
ZFPB17,Palm Beach,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.937,0.002,0.003,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.004,0.003,0.002,0.002,0.002,0.002,0.002
ZFPB18,Palm Beach,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.942,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002
ZFPB19,Palm Beach,0.003,0.004,0.004,0.005,0.003,0.007,0.002,0.004,0.906,0.005,0.005,0.004,0.004,0.003,0.003,0.005,0.006,0.003,0.004,0.002,0.003,0.004,0.003,0.003,0.004
ZFPB20,Palm Beach,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.945,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002
