Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFCNS29,Canaveral,0.006,0.007,0.005,0.008,0.004,0.003,0.008,0.01,0.002,0.007,0.01,0.852,0.01,0.01,0.007,0.004,0.003,0.007,0.003,0.004,0.004,0.01,0.006,0.004,0.005
ZFCNS30,Canaveral,0.006,0.006,0.006,0.007,0.003,0.003,0.011,0.006,0.002,0.004,0.008,0.871,0.005,0.011,0.007,0.004,0.003,0.005,0.003,0.005,0.004,0.006,0.005,0.003,0.006
ZFCNS31,Canaveral,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.004,0.002,0.004,0.003,0.919,0.003,0.007,0.006,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.005,0.004,0.003
ZFCNS32,Canaveral,0.005,0.004,0.003,0.007,0.003,0.003,0.023,0.006,0.002,0.008,0.004,0.847,0.006,0.016,0.01,0.003,0.003,0.005,0.003,0.006,0.003,0.006,0.011,0.008,0.004
ZFCNS33,Canaveral,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.003,0.002,0.004,0.003,0.926,0.003,0.005,0.005,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.003
ZFCNS34,Canaveral,0.006,0.011,0.006,0.008,0.003,0.003,0.008,0.006,0.002,0.005,0.01,0.868,0.007,0.008,0.005,0.004,0.003,0.005,0.003,0.005,0.004,0.006,0.004,0.004,0.005
ZFCNS35,Canaveral,0.003,0.004,0.004,0.003,0.003,0.005,0.011,0.008,0.002,0.007,0.005,0.837,0.01,0.018,0.007,0.003,0.002,0.003,0.003,0.004,0.014,0.006,0.009,0.004,0.026
ZFCNS36,Canaveral,0.004,0.01,0.003,0.012,0.003,0.002,0.012,0.007,0.002,0.01,0.009,0.853,0.01,0.006,0.007,0.003,0.003,0.005,0.003,0.005,0.003,0.007,0.006,0.011,0.003
ZFCNS37,Canaveral,0.006,0.004,0.004,0.006,0.003,0.003,0.157,0.01,0.002,0.003,0.006,0.692,0.006,0.011,0.035,0.007,0.002,0.004,0.004,0.003,0.003,0.013,0.005,0.005,0.005
ZFCNS39,Canaveral,0.009,0.011,0.003,0.005,0.004,0.002,0.009,0.005,0.003,0.005,0.011,0.832,0.007,0.015,0.025,0.003,0.002,0.005,0.004,0.01,0.002,0.005,0.005,0.015,0.003
ZFCNS40,Canaveral,0.007,0.027,0.003,0.008,0.003,0.002,0.195,0.009,0.003,0.009,0.014,0.546,0.012,0.011,0.046,0.004,0.003,0.005,0.003,0.007,0.003,0.009,0.004,0.064,0.003
ZFCNS41,Canaveral,0.02,0.011,0.004,0.009,0.006,0.003,0.296,0.047,0.007,0.008,0.016,0.297,0.018,0.03,0.114,0.011,0.005,0.008,0.009,0.014,0.009,0.033,0.006,0.006,0.014
ZFCNS42,Canaveral,0.003,0.003,0.003,0.003,0.002,0.002,0.005,0.005,0.002,0.004,0.004,0.913,0.004,0.008,0.007,0.003,0.002,0.003,0.003,0.003,0.002,0.004,0.005,0.003,0.003
ZFCNS43,Canaveral,0.003,0.004,0.003,0.003,0.002,0.002,0.007,0.003,0.002,0.003,0.005,0.924,0.003,0.006,0.004,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.003
ZFCNS44,Canaveral,0.003,0.004,0.003,0.003,0.003,0.003,0.016,0.012,0.005,0.003,0.006,0.841,0.01,0.021,0.019,0.003,0.002,0.007,0.003,0.002,0.002,0.011,0.014,0.003,0.003
ZFCNS46,Canaveral,0.006,0.004,0.005,0.006,0.004,0.003,0.008,0.009,0.002,0.004,0.007,0.86,0.007,0.01,0.013,0.005,0.003,0.006,0.004,0.006,0.004,0.01,0.008,0.004,0.004
ZFCNS47,Canaveral,0.003,0.004,0.003,0.003,0.002,0.002,0.005,0.003,0.002,0.003,0.004,0.926,0.003,0.005,0.005,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003
ZFCNS48,Canaveral,0.004,0.005,0.004,0.005,0.003,0.004,0.013,0.018,0.004,0.005,0.007,0.746,0.016,0.037,0.058,0.004,0.003,0.013,0.003,0.005,0.003,0.017,0.014,0.004,0.004
ZFCNS49,Canaveral,0.003,0.003,0.003,0.003,0.003,0.004,0.01,0.013,0.004,0.005,0.004,0.583,0.008,0.208,0.067,0.003,0.002,0.006,0.003,0.003,0.003,0.011,0.041,0.004,0.004
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFFDSP01,Faver-Dykes,0.006,0.005,0.005,0.003,0.004,0.003,0.014,0.088,0.003,0.006,0.004,0.012,0.156,0.323,0.019,0.003,0.003,0.149,0.002,0.006,0.008,0.057,0.1,0.013,0.01
ZFFDSP02,Faver-Dykes,0.003,0.004,0.004,0.003,0.003,0.002,0.007,0.042,0.002,0.003,0.004,0.003,0.013,0.006,0.005,0.003,0.002,0.025,0.003,0.003,0.006,0.066,0.783,0.004,0.002
ZFFDSP04,Faver-Dykes,0.005,0.004,0.004,0.003,0.003,0.003,0.009,0.105,0.002,0.006,0.004,0.003,0.237,0.076,0.005,0.002,0.002,0.061,0.002,0.005,0.01,0.094,0.336,0.011,0.005
ZFFDSP05,Faver-Dykes,0.014,0.004,0.003,0.003,0.005,0.003,0.01,0.122,0.005,0.008,0.004,0.005,0.03,0.058,0.042,0.005,0.004,0.018,0.004,0.012,0.005,0.058,0.561,0.01,0.003
ZFFDSP06,Faver-Dykes,0.004,0.011,0.011,0.003,0.004,0.002,0.05,0.096,0.002,0.037,0.007,0.003,0.418,0.014,0.009,0.002,0.002,0.075,0.002,0.004,0.007,0.1,0.117,0.015,0.003
ZFFDSP07,Faver-Dykes,0.005,0.02,0.004,0.022,0.005,0.002,0.009,0.058,0.004,0.015,0.006,0.004,0.254,0.007,0.006,0.005,0.003,0.315,0.005,0.01,0.005,0.08,0.108,0.044,0.003
ZFFDSP08,Faver-Dykes,0.007,0.009,0.003,0.018,0.004,0.003,0.013,0.065,0.003,0.029,0.006,0.008,0.548,0.015,0.015,0.004,0.003,0.078,0.003,0.008,0.003,0.044,0.04,0.068,0.003
ZFFDSP10,Faver-Dykes,0.006,0.005,0.003,0.009,0.005,0.003,0.024,0.058,0.004,0.012,0.004,0.005,0.106,0.041,0.013,0.005,0.003,0.151,0.003,0.008,0.004,0.05,0.453,0.021,0.003
