Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
TMA-ZAIN-G-67,MBC,0.014,0.007,0.005,0.009,0.087,0.004,0.004,0.672,0.039,0.02,0.016,0.01,0.016,0.016,0.08,0.003
TMA-ZAIN-G-68,MBC,0.005,0.009,0.005,0.002,0.004,0.002,0.004,0.935,0.005,0.005,0.003,0.002,0.002,0.005,0.005,0.006
TMA-ZAIN-G-69,MBC,0.006,0.007,0.008,0.02,0.031,0.015,0.021,0.693,0.019,0.03,0.006,0.02,0.024,0.027,0.059,0.016
TMA-ZAIN-G-70,MBC,0.007,0.004,0.003,0.004,0.856,0.003,0.004,0.011,0.038,0.006,0.004,0.004,0.004,0.007,0.038,0.005
TMA-ZAIN-G-71,MBC,0.006,0.005,0.003,0.003,0.888,0.003,0.004,0.004,0.011,0.009,0.003,0.003,0.004,0.011,0.041,0.003
TMA-ZAIN-G-72,MBC,0.009,0.005,0.007,0.004,0.897,0.003,0.004,0.014,0.014,0.008,0.008,0.003,0.003,0.006,0.01,0.005
TMA-ZAIN-G-73,MBC,0.005,0.006,0.013,0.013,0.841,0.015,0.004,0.005,0.006,0.016,0.017,0.021,0.02,0.008,0.009,0.003
TMA-ZAIN-G-74,MBC,0.005,0.005,0.005,0.005,0.913,0.004,0.003,0.004,0.009,0.011,0.004,0.004,0.005,0.009,0.009,0.003
TMA-ZAIN-G-75,MBC,0.005,0.005,0.007,0.004,0.917,0.004,0.005,0.004,0.006,0.008,0.005,0.003,0.003,0.007,0.012,0.004
TMA-ZAIN-G-76,MBC,0.004,0.004,0.003,0.008,0.859,0.004,0.003,0.005,0.01,0.007,0.004,0.009,0.021,0.007,0.051,0.003
TMA-ZAIN-G-77,MBC,0.008,0.004,0.004,0.005,0.917,0.002,0.007,0.005,0.01,0.005,0.005,0.003,0.006,0.004,0.007,0.005
TMA-ZAIN-G-78,MBC,0.005,0.005,0.006,0.01,0.884,0.005,0.008,0.004,0.017,0.007,0.006,0.008,0.009,0.006,0.014,0.005
TMA-ZAIN-G-79,MBC,0.006,0.005,0.004,0.007,0.876,0.003,0.022,0.004,0.021,0.006,0.005,0.005,0.011,0.005,0.014,0.007
TMA-ZAIN-G-80,MBC,0.017,0.011,0.011,0.004,0.703,0.003,0.006,0.021,0.048,0.022,0.006,0.003,0.007,0.08,0.055,0.004
TMA-ZAIN-G-81,MBC,0.011,0.011,0.006,0.006,0.742,0.004,0.03,0.005,0.03,0.019,0.007,0.004,0.009,0.012,0.099,0.007
TMA-ZAIN-G-82,MBC,0.007,0.015,0.015,0.004,0.036,0.005,0.007,0.097,0.02,0.173,0.007,0.003,0.002,0.025,0.58,0.006
