Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
ZFBP228,ZFBP2,0.105,0.109,0.038,0.003,0.012,0.005,0.005,0.021,0.054,0.479,0.033,0.048,0.053,0.012,0.005,0.008,0.004,0.004
ZFBP229,ZFBP2,0.068,0.211,0.012,0.003,0.008,0.008,0.004,0.054,0.315,0.03,0.044,0.007,0.162,0.031,0.003,0.033,0.004,0.003
ZFBP230,ZFBP2,0.038,0.043,0.034,0.003,0.018,0.008,0.006,0.055,0.141,0.513,0.026,0.009,0.025,0.037,0.003,0.033,0.004,0.003
ZFBP231,ZFBP2,0.045,0.432,0.027,0.005,0.004,0.009,0.024,0.117,0.037,0.187,0.018,0.007,0.037,0.024,0.008,0.006,0.007,0.006
ZFBP232,ZFBP2,0.374,0.219,0.007,0.003,0.004,0.004,0.005,0.236,0.041,0.034,0.007,0.004,0.018,0.028,0.003,0.007,0.003,0.003
ZFBP233,ZFBP2,0.021,0.01,0.013,0.004,0.005,0.007,0.008,0.134,0.018,0.706,0.007,0.004,0.018,0.018,0.004,0.016,0.004,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFCC01,ZFCC,0.004,0.003,0.004,0.005,0.909,0.005,0.009,0.004,0.006,0.004,0.003,0.005,0.004,0.006,0.017,0.004,0.004,0.005
ZFCC03,ZFCC,0.003,0.003,0.005,0.003,0.929,0.003,0.005,0.003,0.004,0.003,0.003,0.009,0.004,0.006,0.006,0.004,0.003,0.003
ZFCC04,ZFCC,0.003,0.003,0.004,0.005,0.91,0.005,0.015,0.005,0.005,0.004,0.004,0.006,0.003,0.005,0.006,0.006,0.005,0.005
ZFCC05,ZFCC,0.007,0.004,0.008,0.006,0.803,0.008,0.074,0.007,0.009,0.006,0.006,0.015,0.005,0.008,0.011,0.007,0.009,0.006
ZFCC08,ZFCC,0.007,0.012,0.034,0.003,0.793,0.009,0.012,0.017,0.015,0.009,0.006,0.005,0.01,0.026,0.009,0.026,0.003,0.002
ZFCC09,ZFCC,0.004,0.006,0.006,0.003,0.927,0.003,0.006,0.003,0.003,0.003,0.003,0.006,0.003,0.003,0.011,0.003,0.003,0.004
ZFCC10,ZFCC,0.003,0.004,0.005,0.004,0.902,0.004,0.009,0.004,0.005,0.003,0.002,0.004,0.004,0.005,0.03,0.003,0.004,0.004
ZFCC11,ZFCC,0.005,0.004,0.005,0.004,0.905,0.005,0.01,0.005,0.007,0.004,0.004,0.01,0.004,0.007,0.01,0.004,0.004,0.004
ZFCC12,ZFCC,0.01,0.004,0.012,0.042,0.755,0.01,0.041,0.01,0.009,0.008,0.009,0.01,0.007,0.006,0.04,0.005,0.013,0.01
ZFCC13,ZFCC,0.012,0.007,0.01,0.008,0.846,0.01,0.009,0.015,0.016,0.01,0.012,0.009,0.007,0.009,0.004,0.007,0.006,0.004
ZFCC14,ZFCC,0.009,0.011,0.004,0.006,0.813,0.004,0.035,0.008,0.013,0.008,0.005,0.005,0.015,0.023,0.009,0.01,0.008,0.014
ZFCC15,ZFCC,0.004,0.004,0.004,0.005,0.921,0.008,0.006,0.004,0.005,0.004,0.004,0.004,0.003,0.004,0.005,0.004,0.005,0.004
ZFCC16,ZFCC,0.003,0.003,0.004,0.004,0.922,0.005,0.015,0.005,0.004,0.003,0.003,0.004,0.003,0.004,0.006,0.004,0.004,0.004
ZFCC17,ZFCC,0.003,0.004,0.004,0.009,0.901,0.004,0.029,0.004,0.003,0.004,0.003,0.006,0.003,0.003,0.006,0.004,0.005,0.005
ZFCC18,ZFCC,0.004,0.004,0.005,0.004,0.915,0.004,0.008,0.005,0.005,0.004,0.004,0.009,0.004,0.005,0.008,0.006,0.004,0.004
ZFCC19,ZFCC,0.002,0.003,0.003,0.006,0.926,0.011,0.008,0.004,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.005,0.005
ZFCC20,ZFCC,0.004,0.003,0.007,0.004,0.914,0.006,0.011,0.005,0.004,0.004,0.005,0.008,0.004,0.005,0.005,0.006,0.004,0.004
ZFCC21,ZFCC,0.01,0.006,0.012,0.007,0.516,0.089,0.017,0.044,0.137,0.014,0.01,0.003,0.02,0.073,0.007,0.02,0.006,0.008
ZFCC22,ZFCC,0.021,0.014,0.075,0.004,0.375,0.006,0.011,0.216,0.1,0.016,0.013,0.007,0.024,0.05,0.03,0.031,0.004,0.004
ZFCC26,ZFCC,0.003,0.003,0.005,0.003,0.929,0.005,0.01,0.004,0.004,0.004,0.003,0.004,0.003,0.004,0.005,0.004,0.003,0.004
ZFCC27,ZFCC,0.004,0.004,0.005,0.003,0.935,0.003,0.006,0.004,0.003,0.003,0.003,0.006,0.003,0.004,0.004,0.003,0.003,0.003
ZFCC29,ZFCC,0.005,0.004,0.006,0.005,0.886,0.013,0.02,0.009,0.005,0.005,0.005,0.005,0.003,0.006,0.007,0.006,0.005,0.008
ZFCC30,ZFCC,0.004,0.004,0.005,0.003,0.926,0.004,0.008,0.004,0.003,0.004,0.004,0.009,0.003,0.003,0.003,0.006,0.004,0.003
ZFCC32,ZFCC,0.003,0.006,0.007,0.008,0.902,0.01,0.009,0.005,0.005,0.005,0.005,0.006,0.003,0.004,0.01,0.005,0.006,0.003
ZFCC33,ZFCC,0.005,0.005,0.007,0.005,0.395,0.005,0.511,0.004,0.005,0.004,0.004,0.008,0.005,0.005,0.008,0.005,0.01,0.01
ZFCC34,ZFCC,0.172,0.034,0.017,0.013,0.459,0.006,0.045,0.033,0.026,0.044,0.01,0.04,0.016,0.02,0.031,0.013,0.005,0.017
ZFCC35,ZFCC,0.003,0.005,0.006,0.003,0.935,0.004,0.006,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.005,0.004,0.003,0.002
ZFCC36,ZFCC,0.009,0.005,0.007,0.014,0.837,0.013,0.013,0.022,0.018,0.01,0.009,0.004,0.005,0.007,0.005,0.01,0.006,0.004
ZFCC37,ZFCC,0.015,0.004,0.016,0.04,0.702,0.013,0.035,0.028,0.014,0.01,0.01,0.009,0.009,0.008,0.054,0.006,0.014,0.011
ZFCC40,ZFCC,0.006,0.004,0.004,0.007,0.898,0.003,0.014,0.006,0.009,0.005,0.004,0.004,0.008,0.008,0.007,0.003,0.004,0.005
ZFCC42,ZFCC,0.007,0.006,0.006,0.353,0.068,0.006,0.383,0.012,0.005,0.006,0.009,0.069,0.003,0.004,0.007,0.009,0.021,0.025
ZFCC44,ZFCC,0.003,0.004,0.004,0.004,0.932,0.003,0.01,0.003,0.003,0.003,0.003,0.009,0.003,0.003,0.003,0.003,0.004,0.003
ZFCC45,ZFCC,0.004,0.005,0.005,0.022,0.8,0.007,0.053,0.003,0.007,0.006,0.005,0.009,0.005,0.006,0.021,0.004,0.026,0.009
ZFCC46,ZFCC,0.019,0.01,0.024,0.004,0.736,0.01,0.015,0.049,0.016,0.017,0.015,0.009,0.009,0.013,0.003,0.044,0.003,0.004
ZFCC47,ZFCC,0.005,0.006,0.008,0.022,0.862,0.006,0.008,0.009,0.004,0.005,0.004,0.006,0.003,0.004,0.03,0.007,0.004,0.006
ZFCC48,ZFCC,0.012,0.007,0.017,0.004,0.615,0.021,0.021,0.068,0.072,0.011,0.008,0.004,0.022,0.072,0.006,0.03,0.003,0.007
ZFCC50,ZFCC,0.003,0.003,0.004,0.004,0.938,0.004,0.008,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.003,0.003,0.004
ZFCC51,ZFCC,0.004,0.004,0.005,0.003,0.934,0.003,0.004,0.003,0.003,0.003,0.003,0.009,0.003,0.004,0.005,0.004,0.003,0.004
ZFCC52,ZFCC,0.024,0.012,0.016,0.008,0.732,0.008,0.048,0.047,0.021,0.016,0.009,0.005,0.012,0.014,0.005,0.014,0.004,0.004
ZFCC53,ZFCC,0.003,0.003,0.003,0.003,0.941,0.003,0.006,0.003,0.003,0.003,0.002,0.006,0.003,0.003,0.005,0.003,0.003,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFCNS01,ZFCNS,0.006,0.007,0.004,0.016,0.006,0.028,0.003,0.004,0.012,0.014,0.102,0.761,0.003,0.003,0.003,0.003,0.023,0.002
ZFCNS02,ZFCNS,0.004,0.006,0.004,0.002,0.005,0.003,0.004,0.004,0.003,0.003,0.005,0.939,0.003,0.003,0.003,0.004,0.003,0.002
ZFCNS05,ZFCNS,0.013,0.006,0.011,0.003,0.008,0.005,0.006,0.009,0.007,0.009,0.005,0.882,0.007,0.009,0.006,0.005,0.003,0.005
ZFCNS06,ZFCNS,0.005,0.004,0.004,0.002,0.005,0.003,0.004,0.004,0.004,0.005,0.004,0.933,0.004,0.004,0.003,0.005,0.003,0.003
ZFCNS07,ZFCNS,0.008,0.012,0.003,0.002,0.004,0.003,0.003,0.005,0.004,0.005,0.007,0.911,0.005,0.007,0.003,0.01,0.003,0.003
ZFCNS10,ZFCNS,0.012,0.007,0.006,0.003,0.004,0.003,0.004,0.009,0.008,0.008,0.036,0.873,0.008,0.005,0.003,0.005,0.003,0.003
ZFCNS11,ZFCNS,0.005,0.006,0.004,0.009,0.007,0.014,0.003,0.003,0.008,0.008,0.027,0.879,0.003,0.003,0.003,0.004,0.011,0.002
ZFCNS15,ZFCNS,0.018,0.012,0.017,0.003,0.003,0.004,0.006,0.012,0.01,0.036,0.03,0.782,0.037,0.011,0.004,0.008,0.004,0.003
ZFCNS17,ZFCNS,0.006,0.005,0.005,0.002,0.005,0.003,0.004,0.004,0.004,0.004,0.005,0.932,0.004,0.004,0.003,0.004,0.003,0.002
ZFCNS18,ZFCNS,0.012,0.006,0.011,0.003,0.005,0.003,0.004,0.01,0.008,0.011,0.017,0.886,0.008,0.005,0.003,0.004,0.003,0.003
ZFCNS19,ZFCNS,0.003,0.003,0.005,0.002,0.005,0.003,0.003,0.003,0.003,0.004,0.004,0.944,0.003,0.003,0.003,0.004,0.003,0.003
ZFCNS20,ZFCNS,0.023,0.016,0.01,0.003,0.005,0.005,0.007,0.01,0.01,0.017,0.012,0.828,0.012,0.015,0.003,0.018,0.004,0.003
ZFCNS21,ZFCNS,0.004,0.003,0.006,0.002,0.004,0.003,0.003,0.003,0.003,0.004,0.005,0.943,0.003,0.003,0.003,0.003,0.003,0.002
ZFCNS22,ZFCNS,0.02,0.009,0.01,0.003,0.005,0.005,0.007,0.011,0.011,0.013,0.008,0.854,0.012,0.014,0.005,0.005,0.004,0.005
ZFCNS23,ZFCNS,0.004,0.004,0.004,0.01,0.015,0.009,0.025,0.013,0.008,0.007,0.005,0.863,0.003,0.006,0.005,0.01,0.007,0.005
ZFCNS24,ZFCNS,0.011,0.009,0.016,0.003,0.006,0.004,0.011,0.008,0.006,0.009,0.009,0.879,0.006,0.007,0.003,0.007,0.004,0.002
ZFCNS25,ZFCNS,0.017,0.02,0.01,0.003,0.005,0.004,0.009,0.011,0.009,0.014,0.011,0.848,0.009,0.01,0.003,0.012,0.003,0.003
ZFCNS26,ZFCNS,0.004,0.005,0.005,0.002,0.003,0.003,0.003,0.004,0.004,0.006,0.008,0.929,0.006,0.004,0.003,0.004,0.003,0.003
ZFCNS27,ZFCNS,0.024,0.025,0.012,0.003,0.003,0.004,0.006,0.013,0.012,0.029,0.083,0.731,0.025,0.011,0.003,0.01,0.004,0.003
ZFCNS28,ZFCNS,0.004,0.003,0.006,0.002,0.004,0.003,0.004,0.004,0.004,0.005,0.004,0.934,0.004,0.005,0.004,0.004,0.003,0.003
ZFCNS29,ZFCNS,0.017,0.008,0.008,0.003,0.007,0.005,0.007,0.008,0.008,0.007,0.007,0.883,0.006,0.008,0.005,0.005,0.004,0.004
ZFCNS30,ZFCNS,0.009,0.004,0.013,0.003,0.007,0.005,0.007,0.007,0.005,0.007,0.007,0.898,0.006,0.006,0.006,0.003,0.004,0.004
ZFCNS31,ZFCNS,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.003,0.004,0.005,0.006,0.936,0.004,0.004,0.003,0.004,0.003,0.003
ZFCNS32,ZFCNS,0.007,0.008,0.023,0.003,0.005,0.005,0.007,0.008,0.006,0.011,0.01,0.872,0.008,0.008,0.004,0.008,0.003,0.003
ZFCNS33,ZFCNS,0.003,0.004,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.943,0.003,0.003,0.003,0.004,0.003,0.003
ZFCNS34,ZFCNS,0.01,0.006,0.009,0.003,0.013,0.005,0.008,0.006,0.005,0.006,0.005,0.896,0.004,0.006,0.005,0.005,0.004,0.004
ZFCNS35,ZFCNS,0.004,0.008,0.013,0.002,0.004,0.003,0.003,0.014,0.005,0.012,0.015,0.868,0.008,0.015,0.006,0.004,0.003,0.011
ZFCNS36,ZFCNS,0.011,0.01,0.015,0.003,0.01,0.005,0.011,0.009,0.006,0.01,0.007,0.872,0.005,0.007,0.003,0.011,0.003,0.003
ZFCNS37,ZFCNS,0.01,0.003,0.085,0.002,0.005,0.005,0.006,0.005,0.005,0.008,0.034,0.803,0.005,0.005,0.005,0.004,0.005,0.003
ZFCNS39,ZFCNS,0.005,0.004,0.01,0.003,0.012,0.008,0.005,0.009,0.005,0.008,0.016,0.882,0.005,0.006,0.003,0.014,0.004,0.002
ZFCNS40,ZFCNS,0.012,0.009,0.17,0.003,0.018,0.007,0.009,0.013,0.006,0.013,0.024,0.643,0.004,0.007,0.003,0.054,0.004,0.002
ZFCNS41,ZFCNS,0.026,0.014,0.214,0.007,0.014,0.013,0.009,0.017,0.018,0.06,0.219,0.342,0.007,0.011,0.005,0.006,0.011,0.005
ZFCNS42,ZFCNS,0.005,0.004,0.005,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.007,0.933,0.005,0.004,0.003,0.003,0.003,0.003
ZFCNS43,ZFCNS,0.004,0.003,0.006,0.002,0.005,0.003,0.004,0.003,0.003,0.004,0.004,0.942,0.003,0.003,0.003,0.003,0.003,0.002
ZFCNS44,ZFCNS,0.011,0.004,0.014,0.003,0.004,0.003,0.004,0.01,0.008,0.01,0.016,0.887,0.01,0.005,0.003,0.003,0.003,0.003
ZFCNS46,ZFCNS,0.012,0.004,0.009,0.003,0.005,0.005,0.007,0.007,0.008,0.01,0.013,0.887,0.007,0.007,0.005,0.004,0.004,0.003
ZFCNS47,ZFCNS,0.004,0.003,0.005,0.002,0.004,0.003,0.003,0.003,0.003,0.004,0.005,0.942,0.003,0.003,0.003,0.003,0.003,0.003
ZFCNS48,ZFCNS,0.024,0.007,0.013,0.003,0.006,0.004,0.006,0.016,0.013,0.013,0.034,0.822,0.012,0.009,0.004,0.005,0.004,0.003
ZFCNS49,ZFCNS,0.012,0.006,0.01,0.003,0.003,0.003,0.003,0.011,0.01,0.018,0.114,0.762,0.025,0.006,0.003,0.004,0.003,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFCR01,ZFCR,0.008,0.014,0.005,0.029,0.024,0.009,0.003,0.007,0.059,0.006,0.006,0.003,0.038,0.042,0.147,0.015,0.467,0.121
ZFCR02,ZFCR,0.07,0.035,0.006,0.01,0.035,0.013,0.039,0.03,0.024,0.015,0.005,0.008,0.005,0.007,0.004,0.03,0.016,0.649
ZFCR03,ZFCR,0.01,0.015,0.005,0.094,0.02,0.211,0.052,0.011,0.115,0.021,0.005,0.003,0.03,0.09,0.019,0.017,0.018,0.265
ZFCR04,ZFCR,0.006,0.011,0.008,0.029,0.016,0.065,0.006,0.034,0.015,0.018,0.057,0.011,0.02,0.007,0.092,0.022,0.048,0.537
ZFCR05,ZFCR,0.009,0.008,0.007,0.029,0.052,0.282,0.006,0.008,0.01,0.007,0.009,0.004,0.007,0.006,0.134,0.007,0.126,0.288
ZFCR06,ZFCR,0.017,0.078,0.007,0.009,0.044,0.093,0.009,0.007,0.04,0.034,0.039,0.055,0.047,0.021,0.044,0.017,0.27,0.17
ZFCR07,ZFCR,0.012,0.004,0.013,0.014,0.009,0.651,0.046,0.01,0.015,0.009,0.027,0.039,0.007,0.007,0.015,0.003,0.072,0.045
ZFCR08,ZFCR,0.029,0.006,0.012,0.041,0.057,0.008,0.058,0.027,0.029,0.012,0.01,0.004,0.022,0.008,0.181,0.049,0.407,0.039
ZFCR09,ZFCR,0.024,0.053,0.015,0.408,0.015,0.024,0.01,0.06,0.044,0.04,0.026,0.013,0.02,0.109,0.017,0.013,0.022,0.087
ZFCR11,ZFCR,0.005,0.017,0.008,0.019,0.014,0.141,0.005,0.005,0.008,0.008,0.2,0.011,0.01,0.007,0.108,0.003,0.071,0.359
ZFCR12,ZFCR,0.009,0.015,0.017,0.005,0.012,0.564,0.008,0.029,0.007,0.014,0.07,0.089,0.014,0.007,0.006,0.017,0.049,0.069
ZFCR13,ZFCR,0.016,0.04,0.009,0.004,0.006,0.617,0.006,0.055,0.011,0.013,0.008,0.007,0.033,0.036,0.005,0.005,0.107,0.023
ZFCR14,ZFCR,0.011,0.007,0.02,0.011,0.019,0.432,0.009,0.022,0.008,0.009,0.008,0.006,0.011,0.009,0.033,0.046,0.131,0.209
ZFCR15,ZFCR,0.021,0.01,0.013,0.01,0.012,0.174,0.013,0.061,0.016,0.013,0.008,0.004,0.01,0.01,0.027,0.09,0.222,0.287
ZFCR16,ZFCR,0.025,0.014,0.006,0.005,0.01,0.08,0.006,0.04,0.051,0.016,0.009,0.003,0.011,0.031,0.024,0.09,0.183,0.394
ZFCR18,ZFCR,0.045,0.029,0.012,0.005,0.009,0.007,0.033,0.021,0.006,0.007,0.006,0.006,0.005,0.007,0.007,0.008,0.009,0.778
ZFCR19,ZFCR,0.012,0.016,0.011,0.116,0.011,0.08,0.006,0.021,0.01,0.014,0.007,0.004,0.016,0.024,0.011,0.252,0.015,0.375
ZFCR20,ZFCR,0.016,0.009,0.008,0.043,0.007,0.122,0.036,0.009,0.199,0.017,0.009,0.004,0.065,0.063,0.084,0.009,0.096,0.205
ZFCR21,ZFCR,0.003,0.005,0.009,0.006,0.018,0.697,0.008,0.014,0.007,0.008,0.007,0.003,0.007,0.019,0.017,0.015,0.11,0.048
ZFCR22,ZFCR,0.007,0.009,0.004,0.006,0.003,0.817,0.007,0.008,0.008,0.007,0.005,0.003,0.008,0.009,0.002,0.012,0.02,0.064
ZFCR23,ZFCR,0.048,0.015,0.005,0.041,0.003,0.528,0.003,0.032,0.042,0.06,0.032,0.004,0.066,0.028,0.009,0.004,0.045,0.034
ZFCR24,ZFCR,0.026,0.02,0.009,0.017,0.009,0.235,0.01,0.133,0.056,0.014,0.007,0.004,0.164,0.118,0.05,0.006,0.065,0.054
ZFCR25,ZFCR,0.004,0.003,0.005,0.013,0.01,0.735,0.009,0.004,0.004,0.004,0.005,0.003,0.004,0.003,0.026,0.003,0.081,0.084
ZFCR26,ZFCR,0.014,0.019,0.017,0.09,0.016,0.72,0.007,0.013,0.012,0.01,0.008,0.005,0.01,0.012,0.012,0.016,0.014,0.007
ZFCR27,ZFCR,0.004,0.004,0.005,0.059,0.007,0.189,0.003,0.003,0.004,0.003,0.003,0.003,0.005,0.006,0.077,0.004,0.563,0.056
ZFCR28,ZFCR,0.033,0.022,0.007,0.007,0.009,0.033,0.007,0.019,0.153,0.02,0.011,0.021,0.019,0.054,0.009,0.087,0.484,0.005
ZFCR29,ZFCR,0.004,0.007,0.009,0.013,0.005,0.686,0.005,0.008,0.007,0.007,0.005,0.002,0.012,0.02,0.019,0.005,0.009,0.175
ZFCR30,ZFCR,0.005,0.003,0.007,0.018,0.004,0.878,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.004,0.009,0.004,0.013,0.025
ZFCR31,ZFCR,0.111,0.025,0.017,0.036,0.009,0.074,0.02,0.064,0.046,0.045,0.029,0.024,0.016,0.024,0.027,0.016,0.016,0.403
ZFCR33,ZFCR,0.01,0.005,0.016,0.039,0.042,0.03,0.01,0.011,0.017,0.012,0.016,0.007,0.012,0.015,0.074,0.015,0.657,0.01
ZFCR34,ZFCR,0.017,0.009,0.007,0.025,0.012,0.626,0.005,0.02,0.032,0.014,0.021,0.009,0.026,0.022,0.007,0.007,0.024,0.118
ZFCR35,ZFCR,0.007,0.005,0.01,0.008,0.018,0.015,0.009,0.009,0.007,0.006,0.009,0.009,0.011,0.011,0.007,0.008,0.012,0.84
ZFCR36,ZFCR,0.01,0.005,0.005,0.022,0.009,0.411,0.006,0.007,0.013,0.006,0.01,0.012,0.009,0.008,0.009,0.004,0.032,0.422
ZFCR37,ZFCR,0.004,0.004,0.005,0.048,0.055,0.63,0.026,0.004,0.005,0.004,0.004,0.004,0.004,0.006,0.059,0.004,0.084,0.05
ZFCR38,ZFCR,0.013,0.006,0.014,0.054,0.057,0.065,0.014,0.021,0.012,0.008,0.01,0.008,0.005,0.01,0.112,0.017,0.563,0.012
ZFCR39,ZFCR,0.038,0.043,0.008,0.568,0.07,0.01,0.026,0.018,0.076,0.034,0.008,0.003,0.015,0.016,0.01,0.013,0.027,0.017
ZFCR40,ZFCR,0.009,0.004,0.014,0.089,0.035,0.22,0.008,0.011,0.02,0.011,0.018,0.004,0.02,0.01,0.03,0.005,0.434,0.06
ZFCR41,ZFCR,0.011,0.005,0.124,0.005,0.081,0.464,0.007,0.01,0.007,0.008,0.062,0.015,0.007,0.01,0.016,0.013,0.064,0.092
ZFCR42,ZFCR,0.017,0.013,0.02,0.06,0.042,0.452,0.013,0.016,0.026,0.022,0.013,0.009,0.025,0.042,0.021,0.017,0.165,0.025
ZFCR43,ZFCR,0.012,0.08,0.012,0.007,0.005,0.242,0.005,0.019,0.006,0.009,0.006,0.004,0.054,0.053,0.013,0.006,0.15,0.318
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFENP25,ZFENP,0.003,0.003,0.008,0.006,0.02,0.008,0.006,0.004,0.017,0.004,0.005,0.003,0.013,0.017,0.034,0.01,0.835,0.006
ZFENP26,ZFENP,0.003,0.003,0.006,0.009,0.005,0.005,0.005,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.007,0.003,0.928,0.006
ZFENP27,ZFENP,0.009,0.004,0.036,0.05,0.139,0.009,0.042,0.011,0.029,0.026,0.018,0.04,0.026,0.018,0.04,0.013,0.456,0.034
ZFENP28,ZFENP,0.006,0.006,0.006,0.02,0.015,0.012,0.005,0.006,0.004,0.004,0.005,0.013,0.003,0.004,0.032,0.006,0.842,0.012
ZFENP29,ZFENP,0.004,0.004,0.005,0.005,0.01,0.009,0.008,0.004,0.006,0.005,0.005,0.005,0.006,0.006,0.005,0.004,0.905,0.006
ZFENP30,ZFENP,0.008,0.006,0.006,0.013,0.032,0.013,0.131,0.011,0.006,0.004,0.004,0.01,0.004,0.007,0.009,0.008,0.719,0.009
ZFENP31,ZFENP,0.017,0.013,0.007,0.433,0.014,0.006,0.301,0.009,0.006,0.006,0.004,0.007,0.004,0.004,0.015,0.004,0.141,0.011
ZFENP32,ZFENP,0.02,0.016,0.018,0.275,0.009,0.012,0.085,0.049,0.013,0.016,0.014,0.028,0.007,0.022,0.023,0.006,0.219,0.167
ZFENP33,ZFENP,0.012,0.005,0.008,0.012,0.004,0.024,0.038,0.006,0.009,0.008,0.006,0.004,0.007,0.008,0.041,0.004,0.794,0.01
ZFENP34,ZFENP,0.015,0.007,0.007,0.011,0.013,0.007,0.065,0.008,0.005,0.005,0.006,0.01,0.003,0.004,0.692,0.004,0.112,0.026
ZFENP35,ZFENP,0.01,0.004,0.011,0.025,0.005,0.008,0.008,0.012,0.009,0.012,0.019,0.012,0.012,0.007,0.008,0.005,0.821,0.012
ZFENP36,ZFENP,0.003,0.003,0.003,0.012,0.003,0.009,0.007,0.003,0.003,0.003,0.004,0.008,0.003,0.002,0.006,0.002,0.919,0.008
ZFENP37,ZFENP,0.008,0.004,0.011,0.064,0.009,0.022,0.011,0.009,0.009,0.009,0.006,0.009,0.006,0.007,0.336,0.004,0.464,0.014
ZFENP38,ZFENP,0.008,0.005,0.009,0.028,0.02,0.382,0.022,0.008,0.009,0.008,0.008,0.019,0.005,0.008,0.03,0.006,0.415,0.01
ZFENP39,ZFENP,0.004,0.003,0.007,0.014,0.015,0.013,0.007,0.003,0.005,0.004,0.005,0.005,0.006,0.006,0.024,0.003,0.848,0.028
ZFENP40,ZFENP,0.014,0.006,0.004,0.024,0.007,0.008,0.018,0.008,0.012,0.009,0.005,0.005,0.009,0.01,0.02,0.004,0.81,0.028
ZFENP41,ZFENP,0.006,0.005,0.017,0.108,0.059,0.008,0.047,0.012,0.007,0.008,0.006,0.01,0.008,0.01,0.028,0.009,0.623,0.027
ZFENP42,ZFENP,0.003,0.003,0.007,0.265,0.006,0.146,0.01,0.006,0.005,0.005,0.006,0.004,0.004,0.005,0.004,0.007,0.512,0.003
ZFENP43,ZFENP,0.012,0.007,0.035,0.039,0.026,0.07,0.009,0.008,0.01,0.021,0.025,0.043,0.007,0.009,0.043,0.007,0.624,0.009
ZFENP44,ZFENP,0.011,0.003,0.015,0.115,0.013,0.027,0.038,0.009,0.013,0.01,0.014,0.01,0.008,0.005,0.021,0.003,0.678,0.006
ZFENP45,ZFENP,0.068,0.042,0.007,0.044,0.014,0.035,0.014,0.015,0.031,0.031,0.009,0.007,0.015,0.049,0.009,0.146,0.457,0.006
ZFENP46,ZFENP,0.017,0.007,0.025,0.027,0.003,0.033,0.01,0.01,0.012,0.027,0.013,0.006,0.017,0.008,0.033,0.004,0.742,0.007
ZFENP47,ZFENP,0.01,0.019,0.008,0.381,0.041,0.006,0.017,0.007,0.013,0.006,0.004,0.004,0.02,0.034,0.013,0.147,0.207,0.065
ZFENP48,ZFENP,0.017,0.016,0.007,0.023,0.014,0.014,0.194,0.017,0.013,0.008,0.005,0.007,0.006,0.011,0.54,0.011,0.086,0.013
ZFENP49,ZFENP,0.011,0.02,0.01,0.012,0.008,0.015,0.173,0.008,0.016,0.011,0.007,0.004,0.026,0.03,0.006,0.017,0.542,0.085
ZFENP50,ZFENP,0.042,0.018,0.004,0.078,0.004,0.222,0.006,0.009,0.052,0.045,0.009,0.004,0.012,0.008,0.011,0.006,0.462,0.009
ZFENP51,ZFENP,0.015,0.004,0.005,0.42,0.007,0.012,0.027,0.004,0.004,0.004,0.005,0.006,0.003,0.004,0.014,0.026,0.426,0.015
ZFENP52,ZFENP,0.005,0.005,0.013,0.007,0.008,0.012,0.005,0.006,0.005,0.013,0.013,0.009,0.004,0.004,0.004,0.005,0.88,0.003
ZFENP53,ZFENP,0.044,0.027,0.012,0.015,0.006,0.021,0.006,0.03,0.023,0.022,0.009,0.008,0.013,0.024,0.009,0.023,0.702,0.006
ZFENP54,ZFENP,0.05,0.029,0.009,0.014,0.024,0.062,0.041,0.01,0.069,0.036,0.01,0.005,0.017,0.01,0.014,0.008,0.53,0.062
ZFENP55,ZFENP,0.008,0.007,0.006,0.021,0.004,0.506,0.012,0.006,0.007,0.007,0.004,0.004,0.004,0.007,0.025,0.004,0.33,0.038
ZFENP56,ZFENP,0.005,0.004,0.02,0.024,0.009,0.108,0.013,0.005,0.005,0.005,0.009,0.012,0.004,0.006,0.012,0.006,0.739,0.015
ZFENP57,ZFENP,0.007,0.003,0.005,0.137,0.004,0.023,0.015,0.006,0.008,0.005,0.008,0.011,0.004,0.004,0.022,0.002,0.724,0.011
ZFENP58,ZFENP,0.007,0.006,0.008,0.008,0.02,0.042,0.21,0.112,0.014,0.009,0.009,0.011,0.004,0.035,0.006,0.042,0.435,0.022
ZFENP59,ZFENP,0.005,0.006,0.006,0.024,0.057,0.008,0.029,0.005,0.005,0.005,0.004,0.005,0.005,0.006,0.009,0.004,0.803,0.013
ZFENP60,ZFENP,0.008,0.008,0.008,0.016,0.012,0.017,0.007,0.019,0.011,0.014,0.005,0.006,0.01,0.016,0.038,0.014,0.747,0.043
