Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
TMA-ZAIN-G-150,MBC,0.219,0.011,0.028,0.01,0.031,0.012,0.02,0.085,0.015,0.474,0.014,0.016,0.009,0.01,0.019,0.007,0.007,0.013
TMA-ZAIN-G-151,MBC,0.076,0.02,0.012,0.008,0.043,0.011,0.009,0.106,0.049,0.428,0.009,0.011,0.022,0.057,0.04,0.086,0.006,0.008
TMA-ZAIN-G-152,MBC,0.007,0.005,0.005,0.002,0.004,0.004,0.003,0.014,0.058,0.007,0.182,0.015,0.523,0.153,0.003,0.008,0.003,0.003
TMA-ZAIN-G-153,MBC,0.012,0.004,0.007,0.002,0.004,0.005,0.003,0.012,0.171,0.008,0.014,0.016,0.472,0.254,0.003,0.005,0.003,0.004
TMA-ZAIN-G-154,MBC,0.021,0.013,0.028,0.003,0.014,0.004,0.004,0.019,0.108,0.151,0.063,0.029,0.489,0.03,0.004,0.014,0.003,0.003
TMA-ZAIN-G-155,MBC,0.009,0.004,0.007,0.002,0.004,0.003,0.004,0.005,0.052,0.006,0.005,0.004,0.819,0.063,0.004,0.004,0.003,0.003
TMA-ZAIN-G-156,MBC,0.013,0.007,0.01,0.003,0.003,0.004,0.006,0.009,0.012,0.051,0.008,0.007,0.814,0.036,0.005,0.006,0.004,0.004
TMA-ZAIN-G-157,MBC,0.018,0.004,0.027,0.003,0.011,0.004,0.004,0.01,0.1,0.036,0.057,0.081,0.587,0.043,0.005,0.004,0.004,0.005
TMA-ZAIN-G-158,MBC,0.053,0.008,0.019,0.003,0.005,0.004,0.004,0.01,0.104,0.219,0.053,0.114,0.354,0.026,0.007,0.007,0.004,0.004
TMA-ZAIN-G-159,MBC,0.043,0.011,0.006,0.003,0.004,0.005,0.004,0.007,0.635,0.011,0.009,0.004,0.215,0.028,0.003,0.004,0.005,0.003
TMA-ZAIN-G-160,MBC,0.175,0.154,0.014,0.002,0.005,0.004,0.003,0.019,0.101,0.053,0.006,0.004,0.4,0.035,0.005,0.013,0.003,0.005
TMA-ZAIN-G-161,MBC,0.048,0.106,0.008,0.002,0.007,0.003,0.004,0.014,0.079,0.029,0.004,0.004,0.338,0.32,0.004,0.022,0.003,0.004
TMA-ZAIN-G-162,MBC,0.035,0.012,0.091,0.002,0.014,0.005,0.005,0.024,0.1,0.403,0.039,0.015,0.199,0.038,0.004,0.007,0.004,0.003
TMA-ZAIN-G-163,MBC,0.006,0.005,0.005,0.01,0.01,0.009,0.01,0.005,0.012,0.008,0.008,0.003,0.86,0.011,0.017,0.004,0.005,0.013
TMA-ZAIN-G-164,MBC,0.013,0.006,0.006,0.002,0.003,0.003,0.003,0.006,0.086,0.013,0.005,0.003,0.81,0.029,0.003,0.004,0.002,0.003
TMA-ZAIN-G-165,MBC,0.02,0.007,0.012,0.005,0.007,0.006,0.01,0.021,0.376,0.025,0.006,0.005,0.42,0.058,0.005,0.008,0.004,0.005
TMA-ZAIN-G-166,MBC,0.031,0.009,0.012,0.003,0.003,0.004,0.003,0.021,0.241,0.049,0.007,0.003,0.502,0.093,0.004,0.007,0.003,0.004
TMA-ZAIN-G-167,MBC,0.129,0.021,0.037,0.002,0.009,0.004,0.005,0.095,0.084,0.036,0.02,0.006,0.414,0.118,0.003,0.01,0.003,0.003
TMA-ZAIN-G-168,MBC,0.416,0.06,0.012,0.005,0.004,0.008,0.007,0.032,0.171,0.193,0.015,0.008,0.017,0.03,0.006,0.005,0.007,0.006
TMA-ZAIN-G-169,MBC,0.853,0.017,0.005,0.003,0.006,0.005,0.006,0.011,0.018,0.01,0.006,0.022,0.005,0.011,0.005,0.008,0.005,0.005
TMA-ZAIN-G-170,MBC,0.902,0.008,0.005,0.002,0.004,0.004,0.004,0.007,0.009,0.005,0.004,0.004,0.007,0.008,0.003,0.018,0.002,0.003
TMA-ZAIN-G-171,MBC,0.517,0.018,0.029,0.012,0.004,0.008,0.006,0.037,0.022,0.077,0.064,0.052,0.036,0.031,0.011,0.013,0.028,0.035
TMA-ZAIN-G-172,MBC,0.914,0.011,0.004,0.002,0.003,0.003,0.003,0.006,0.011,0.006,0.003,0.003,0.006,0.007,0.003,0.008,0.002,0.003
TMA-ZAIN-G-173,MBC,0.648,0.007,0.022,0.004,0.003,0.005,0.004,0.01,0.081,0.054,0.117,0.014,0.009,0.005,0.003,0.004,0.006,0.003
TMA-ZAIN-G-174,MBC,0.314,0.012,0.043,0.004,0.005,0.009,0.008,0.021,0.094,0.111,0.32,0.02,0.01,0.01,0.004,0.006,0.007,0.003
