Ind,Population,C1,C2,C3,C4,,
QAc-W-0153,Sugar_Loaf,0.937,0.013,0.01,0.04,,
QAc-W-0154,Sugar_Loaf,0.983,0.007,0.005,0.004,,
QAc-W-0155,Sugar_Loaf,0.982,0.009,0.005,0.004,,
QAc-W-0156,Sugar_Loaf,0.923,0.007,0.004,0.066,,
QAc-W-0157,Sugar_Loaf,0.96,0.022,0.015,0.003,,
QAc-W-0158,Sugar_Loaf,0.968,0.005,0.011,0.016,,
QAc-W-0159,Sugar_Loaf,0.981,0.008,0.006,0.005,,
QAc-W-0160,Sugar_Loaf,0.982,0.006,0.005,0.006,,
QAc-W-0161,Sugar_Loaf,0.965,0.028,0.004,0.003,,
QAc-W-0162,Sugar_Loaf,0.835,0.101,0.058,0.006,,
QAc-W-0163,Sugar_Loaf,0.879,0.107,0.009,0.005,,
QAc-W-0164,Sugar_Loaf,0.932,0.045,0.012,0.011,,
QAc-W-0165,Sugar_Loaf,0.926,0.021,0.049,0.004,,
QAc-W-0166,Sugar_Loaf,0.975,0.013,0.008,0.005,,
