Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0297,/CBG,Magazine,92.119,NA,Porter,7.823,Pryor,0.033,Sugar_Loaf,0.025
QAc-G-0298,/CBG,Porter,85.472,NA,Magazine,14.475,Sugar_Loaf,0.051,Pryor,0.003
QAc-G-0299,/CBG,Magazine,99.221,NA,Porter,0.771,Pryor,0.006,Sugar_Loaf,0.002
QAc-G-0300,/CBG,Porter,95.69,NA,Pryor,2.317,Magazine,1.887,Sugar_Loaf,0.106
QAc-G-0301,/CBG,Magazine,99.997,NA,Pryor,0.002,Porter,0.001,Sugar_Loaf,0
QAc-G-0302,/CBG,Magazine,79.958,NA,Porter,18.27,Sugar_Loaf,1.772,Pryor,0.001
QAc-G-0303,/CBG,Magazine,83.234,NA,Porter,12.942,Sugar_Loaf,3.768,Pryor,0.056
QAc-G-0304,/CBG,Magazine,97.741,NA,Pryor,2.187,Porter,0.072,Sugar_Loaf,0
QAc-G-0305,/CBG,Magazine,99.998,NA,Pryor,0.002,Porter,0,Sugar_Loaf,0
QAc-G-0306,/CBG,Magazine,83.241,NA,Pryor,12.462,Porter,4.224,Sugar_Loaf,0.073
QAc-G-0307,/CBG,Magazine,97.414,NA,Pryor,2.395,Porter,0.16,Sugar_Loaf,0.031
QAc-G-0308,/CBG,Magazine,99.758,NA,Sugar_Loaf,0.209,Pryor,0.03,Porter,0.003
QAc-G-0309,/CBG,Pryor,88.293,NA,Magazine,11.206,Porter,0.501,Sugar_Loaf,0
QAc-G-0310,/CBG,Pryor,99.267,NA,Porter,0.371,Magazine,0.361,Sugar_Loaf,0
QAc-G-0311,/CBG,Pryor,83.75,NA,Magazine,15.992,Sugar_Loaf,0.167,Porter,0.09
QAc-G-0312,/CBG,Magazine,99.982,NA,Pryor,0.012,Sugar_Loaf,0.006,Porter,0
QAc-G-0313,/CBG,Sugar_Loaf,78.679,NA,Porter,19.668,Magazine,1.248,Pryor,0.406
QAc-G-0314,/CBG,Porter,94.757,NA,Magazine,4.7,Sugar_Loaf,0.541,Pryor,0.003
QAc-G-0315,/CBG,Porter,99.933,NA,Pryor,0.063,Sugar_Loaf,0.004,Magazine,0
QAc-G-0316,/CBG,Porter,74.264,NA,Magazine,14.602,Pryor,11.091,Sugar_Loaf,0.042
